Tarih,TP_AB_TOPLAM,TP_AB_TOPLAM
2015-09-18,2015-38,118712.0
2015-09-25,2015-39,117931.0
2015-10-02,2015-40,118107.0
2015-10-09,2015-41,117618.0
2015-10-16,2015-42,117469.0
2015-10-23,2015-43,118476.0
2015-10-30,2015-44,118560.0
2015-11-06,2015-45,119427.0
2015-11-13,2015-46,118742.0
2015-11-20,2015-47,118296.0
2015-11-27,2015-48,118472.0
2015-12-04,2015-49,116090.0
2015-12-11,2015-50,116502.0
2015-12-18,2015-51,113530.0
2015-12-25,2015-52,113251.0
2016-01-01,2016-1,110528.0
2016-01-08,2016-2,112568.0
2016-01-15,2016-3,111381.0
2016-01-22,2016-4,111152.0
2016-01-29,2016-5,111334.0
2016-02-05,2016-6,111714.0
2016-02-12,2016-7,111907.0
2016-02-19,2016-8,110872.0
2016-02-26,2016-9,110838.0
2016-03-04,2016-10,112073.0
2016-03-11,2016-11,114792.0
2016-03-18,2016-12,114430.0
2016-03-25,2016-13,114041.0
2016-04-01,2016-14,114151.0
2016-04-08,2016-15,116576.0
2016-04-15,2016-16,116341.0
2016-04-22,2016-17,114620.0
2016-04-29,2016-18,116026.0
2016-05-06,2016-19,119026.0
2016-05-13,2016-20,119639.0
2016-05-20,2016-21,117234.0
2016-05-27,2016-22,117498.0
2016-06-03,2016-23,119433.0
2016-06-10,2016-24,121207.0
2016-06-17,2016-25,120113.0
2016-06-24,2016-26,120369.0
2016-07-01,2016-27,122571.0
2016-07-08,2016-28,122611.0
2016-07-15,2016-29,122710.0
2016-07-22,2016-30,121426.0
2016-07-29,2016-31,119717.0
2016-08-05,2016-32,120935.0
2016-08-12,2016-33,122426.0
2016-08-19,2016-34,123483.0
2016-08-26,2016-35,122368.0
2016-09-02,2016-36,122863.0
2016-09-09,2016-37,123442.0
2016-09-16,2016-38,122895.0
2016-09-23,2016-39,121991.0
2016-09-30,2016-40,117846.0
2016-10-07,2016-41,118439.0
2016-10-14,2016-42,119450.0
2016-10-21,2016-43,119615.0
2016-10-28,2016-44,119743.0
2016-11-04,2016-45,120588.0
2016-11-11,2016-46,123043.0
2016-11-18,2016-47,117504.0
2016-11-25,2016-48,115261.0
2016-12-02,2016-49,113598.0
2016-12-09,2016-50,112319.0
2016-12-16,2016-51,111705.0
2016-12-23,2016-52,110124.0
2016-12-30,2016-53,106101.0
2017-01-06,2017-1,110984.0
2017-01-13,2017-2,110559.0
2017-01-20,2017-3,107563.0
2017-01-27,2017-4,107832.0
2017-02-03,2017-5,107454.0
2017-02-10,2017-6,109118.0
2017-02-17,2017-7,105369.0
2017-02-24,2017-8,107099.0
2017-03-03,2017-9,105882.0
2017-03-10,2017-10,109625.0
2017-03-17,2017-11,108690.0
2017-03-24,2017-12,107203.0
2017-03-31,2017-13,105678.0
2017-04-07,2017-14,106346.0
2017-04-14,2017-15,105140.0
2017-04-21,2017-16,102967.0
2017-04-28,2017-17,102733.0
2017-05-05,2017-18,105929.0
2017-05-12,2017-19,105429.0
2017-05-19,2017-20,105022.0
2017-05-26,2017-21,104931.0
2017-06-02,2017-22,105957.0
2017-06-09,2017-23,106717.0
2017-06-16,2017-24,109015.0
2017-06-23,2017-25,107610.0
2017-06-30,2017-26,108708.0
2017-07-07,2017-27,108784.0
2017-07-14,2017-28,105130.0
2017-07-21,2017-29,104762.0
2017-07-28,2017-30,106761.0
2017-08-04,2017-31,108759.0
2017-08-11,2017-32,108164.0
2017-08-18,2017-33,107548.0
2017-08-25,2017-34,110310.0
2017-09-01,2017-35,111991.0
2017-09-08,2017-36,113305.0
2017-09-15,2017-37,112503.0
2017-09-22,2017-38,111823.0
2017-09-29,2017-39,111943.0
2017-10-06,2017-40,114328.0
2017-10-13,2017-41,116702.0
2017-10-20,2017-42,114993.0
2017-10-27,2017-43,116900.0
2017-11-03,2017-44,118516.0
2017-11-10,2017-45,119158.0
2017-11-17,2017-46,117030.0
2017-11-24,2017-47,118945.0
2017-12-01,2017-48,112443.0
2017-12-08,2017-49,114287.0
2017-12-15,2017-50,113581.0
2017-12-22,2017-51,111396.0
2017-12-29,2017-52,107651.0
2018-01-05,2018-1,111455.0
2018-01-12,2018-2,112124.0
2018-01-19,2018-3,113931.0
2018-01-26,2018-4,116732.0
2018-02-02,2018-5,116104.0
2018-02-09,2018-6,115793.0
2018-02-16,2018-7,116053.0
2018-02-23,2018-8,113894.0
2018-03-02,2018-9,114396.0
2018-03-09,2018-10,115777.0
2018-03-16,2018-11,114918.0
2018-03-23,2018-12,114024.0
2018-03-30,2018-13,110046.0
2018-04-06,2018-14,108427.0
2018-04-13,2018-15,112296.0
2018-04-20,2018-16,111569.0
2018-04-27,2018-17,112762.0
2018-05-04,2018-18,110951.0
2018-05-11,2018-19,110710.0
2018-05-18,2018-20,108862.0
2018-05-25,2018-21,108232.0
2018-06-01,2018-22,106645.0
2018-06-08,2018-23,106748.0
2018-06-15,2018-24,103610.0
2018-06-22,2018-25,103460.0
2018-06-29,2018-26,98400.0
2018-07-06,2018-27,102021.0
2018-07-13,2018-28,101717.0
2018-07-20,2018-29,101481.0
2018-07-27,2018-30,100610.0
2018-08-03,2018-31,102918.0
2018-08-10,2018-32,101276.0
2018-08-17,2018-33,92320.0
2018-08-24,2018-34,92691.0
2018-08-31,2018-35,88848.0
2018-09-07,2018-36,88752.0
2018-09-14,2018-37,87574.0
2018-09-21,2018-38,84182.0
2018-09-28,2018-39,84655.0
2018-10-05,2018-40,84194.0
2018-10-12,2018-41,84362.0
2018-10-19,2018-42,83814.0
2018-10-26,2018-43,86280.0
2018-11-02,2018-44,88140.0
2018-11-09,2018-45,88380.0
2018-11-16,2018-46,89746.0
2018-11-23,2018-47,90176.0
2018-11-30,2018-48,91002.0
2018-12-07,2018-49,90762.0
2018-12-14,2018-50,92558.0
2018-12-21,2018-51,92089.0
2018-12-28,2018-52,91930.0
2019-01-04,2019-1,93167.0
2019-01-11,2019-2,92811.0
2019-01-18,2019-3,94247.0
2019-01-25,2019-4,93332.0
2019-02-01,2019-5,97624.0
2019-02-08,2019-6,98829.0
2019-02-15,2019-7,98553.0
2019-02-22,2019-8,99670.0
2019-03-01,2019-9,100064.0
2019-03-08,2019-10,97396.0
2019-03-15,2019-11,94439.0
2019-03-22,2019-12,92381.0
2019-03-29,2019-13,96241.0
2019-04-05,2019-14,97305.0
2019-04-12,2019-15,97809.0
2019-04-19,2019-16,95945.0
2019-04-26,2019-17,93715.0
2019-05-03,2019-18,93050.0
2019-05-10,2019-19,93656.0
2019-05-17,2019-20,92474.0
2019-05-24,2019-21,93547.0
2019-05-31,2019-22,95554.0
2019-06-07,2019-23,96379.0
2019-06-14,2019-24,97407.0
2019-06-21,2019-25,97010.0
2019-06-28,2019-26,96397.0
2019-07-05,2019-27,97246.0
2019-07-12,2019-28,98876.0
2019-07-19,2019-29,98320.0
2019-07-26,2019-30,98386.0
2019-08-02,2019-31,98568.0
2019-08-09,2019-32,104108.0
2019-08-16,2019-33,102688.0
2019-08-23,2019-34,101533.0
2019-08-30,2019-35,101504.0
2019-09-06,2019-36,101851.0
2019-09-13,2019-37,100874.0
2019-09-20,2019-38,103039.0
2019-09-27,2019-39,101706.0
2019-10-04,2019-40,105830.0
2019-10-11,2019-41,104203.0
2019-10-18,2019-42,104493.0
2019-10-25,2019-43,104985.0
2019-11-01,2019-44,105276.0
2019-11-08,2019-45,102034.0
2019-11-15,2019-46,103444.0
2019-11-22,2019-47,105388.0
2019-11-29,2019-48,104748.0
2019-12-06,2019-49,105867.0
2019-12-13,2019-50,103879.0
2019-12-20,2019-51,104699.0
2019-12-27,2019-52,106319.0
2020-01-03,2020-1,105421.0
2020-01-10,2020-2,106214.0
2020-01-17,2020-3,106455.0
2020-01-24,2020-4,104351.0
2020-01-31,2020-5,102375.0
2020-02-07,2020-6,102759.0
2020-02-14,2020-7,104056.0
2020-02-21,2020-8,102670.0
2020-02-28,2020-9,107823.0
2020-03-06,2020-10,106834.0
2020-03-13,2020-11,104164.0
2020-03-20,2020-12,93447.0
2020-03-27,2020-13,95406.0
2020-04-03,2020-14,89553.0
2020-04-10,2020-15,88918.0
2020-04-17,2020-16,87909.0
2020-04-24,2020-17,86446.0
2020-05-01,2020-18,86242.0
2020-05-08,2020-19,85831.0
2020-05-15,2020-20,84428.0
2020-05-22,2020-21,92406.0
2020-05-29,2020-22,91025.0
2020-06-05,2020-23,92219.0
2020-06-12,2020-24,93061.0
2020-06-19,2020-25,91592.0
2020-06-26,2020-26,90237.0
2020-07-03,2020-27,90503.0
2020-07-10,2020-28,90035.0
2020-07-17,2020-29,89459.0
2020-07-24,2020-30,93029.0
2020-07-31,2020-31,90244.0
2020-08-07,2020-32,91823.0
2020-08-14,2020-33,88194.0
2020-08-21,2020-34,88711.0
2020-08-28,2020-35,84634.0
2020-09-04,2020-36,87546.0
2020-09-11,2020-37,88187.0
2020-09-18,2020-38,86318.0
2020-09-25,2020-39,83517.0
2020-10-02,2020-40,83637.0
2020-10-09,2020-41,83594.0
2020-10-16,2020-42,85487.0
2020-10-23,2020-43,88350.0
2020-10-30,2020-44,84406.0
2020-11-06,2020-45,85239.0
2020-11-13,2020-46,82350.0
2020-11-20,2020-47,85085.0
2020-11-27,2020-48,84196.0
2020-12-04,2020-49,86648.0
2020-12-11,2020-50,88176.0
2020-12-18,2020-51,91806.0
2020-12-25,2020-52,94628.0
2021-01-01,2021-1,93206.0
2021-01-08,2021-2,92562.0
2021-01-15,2021-3,90081.0
2021-01-22,2021-4,93328.0
2021-01-29,2021-5,95535.0
2021-02-05,2021-6,95519.0
2021-02-12,2021-7,95616.0
2021-02-19,2021-8,94048.0
2021-02-26,2021-9,95213.0
2021-03-05,2021-10,91663.0
2021-03-12,2021-11,91611.0
2021-03-19,2021-12,93161.0
2021-03-26,2021-13,90638.0
2021-04-02,2021-14,87446.0
2021-04-09,2021-15,89320.0
2021-04-16,2021-16,89540.0
2021-04-23,2021-17,88676.0
2021-04-30,2021-18,87850.0
2021-05-07,2021-19,90326.0
2021-05-14,2021-20,91974.0
2021-05-21,2021-21,92447.0
2021-05-28,2021-22,92604.0
2021-06-04,2021-23,93686.0
2021-06-11,2021-24,94866.0
2021-06-18,2021-25,97322.0
2021-06-25,2021-26,100158.0
2021-07-02,2021-27,100213.0
2021-07-09,2021-28,104068.0
2021-07-16,2021-29,104886.0
2021-07-23,2021-30,104439.0
2021-07-30,2021-31,105720.0
2021-08-06,2021-32,109009.0
2021-08-13,2021-33,107098.0
2021-08-20,2021-34,108555.0
2021-08-27,2021-35,118264.0
2021-09-03,2021-36,119197.0
2021-09-10,2021-37,120141.0
2021-09-17,2021-38,120786.0
2021-09-24,2021-39,122043.0
2021-10-01,2021-40,121721.0
2021-10-08,2021-41,123462.0
2021-10-15,2021-42,125727.0
2021-10-22,2021-43,125141.0
2021-10-29,2021-44,123783.0
2021-11-05,2021-45,125443.0
2021-11-12,2021-46,127690.0
2021-11-19,2021-47,128403.0
2021-11-26,2021-48,126145.0
2021-12-03,2021-49,124025.0
2021-12-10,2021-50,122890.0
2021-12-17,2021-51,116873.0
2021-12-24,2021-52,110925.0
2021-12-31,2021-53,111051.0
2022-01-07,2022-1,109443.0
2022-01-14,2022-2,109548.0
2022-01-21,2022-3,109813.0
2022-01-28,2022-4,110213.0
2022-02-04,2022-5,114655.0
2022-02-11,2022-6,114847.0
2022-02-18,2022-7,114010.0
2022-02-25,2022-8,113143.0
2022-03-04,2022-9,110260.0
2022-03-11,2022-10,108863.0
2022-03-18,2022-11,108707.0
2022-03-25,2022-12,108036.0
2022-04-01,2022-13,108961.0
2022-04-08,2022-14,109911.0
2022-04-15,2022-15,112296.0
2022-04-22,2022-16,108915.0
2022-04-29,2022-17,106864.0
2022-05-06,2022-18,107658.0
2022-05-13,2022-19,101939.0
2022-05-20,2022-20,100260.0
2022-05-27,2022-21,102896.0
2022-06-03,2022-22,102740.0
2022-06-10,2022-23,102513.0
2022-06-17,2022-24,101027.0
2022-06-24,2022-25,101935.0
2022-07-01,2022-26,100941.0
2022-07-08,2022-27,98650.0
2022-07-15,2022-28,99364.0
2022-07-22,2022-29,98322.0
2022-07-29,2022-30,101262.0
2022-08-05,2022-31,108637.0
2022-08-12,2022-32,113737.0
2022-08-19,2022-33,112249.0
2022-08-26,2022-34,111647.0
2022-09-02,2022-35,111926.0
2022-09-09,2022-36,113681.0
2022-09-16,2022-37,114738.0
2022-09-23,2022-38,110802.0
2022-09-30,2022-39,107047.0
2022-10-07,2022-40,113975.0
2022-10-14,2022-41,116025.0
2022-10-21,2022-42,113967.0
2022-10-28,2022-43,114179.0
2022-11-04,2022-44,113681.0
2022-11-11,2022-45,117522.0
2022-11-18,2022-46,122884.0
2022-11-25,2022-47,122600.0
2022-12-02,2022-48,124988.0
2022-12-09,2022-49,128764.0
2022-12-16,2022-50,129510.0
2022-12-23,2022-51,128428.0
2022-12-30,2022-52,128754.0
2023-01-06,2023-1,126409.0
2023-01-13,2023-2,127271.0
2023-01-20,2023-3,128742.0
2023-01-27,2023-4,127139.0
2023-02-03,2023-5,129626.0
2023-02-10,2023-6,125637.0
2023-02-17,2023-7,122597.0
2023-02-24,2023-8,121169.0
2023-03-03,2023-9,120358.0
2023-03-10,2023-10,120012.0
2023-03-17,2023-11,126885.0
2023-03-24,2023-12,124693.0
2023-03-31,2023-13,122422.0
2023-04-07,2023-14,121102.0
2023-04-14,2023-15,121530.0
2023-04-21,2023-16,116129.0
2023-04-28,2023-17,114883.0
2023-05-05,2023-18,114131.0
2023-05-12,2023-19,105127.0
2023-05-19,2023-20,101590.0
2023-05-26,2023-21,98457.0
2023-06-02,2023-22,100484.0
2023-06-09,2023-23,99783.0
2023-06-16,2023-24,102800.0
2023-06-23,2023-25,107560.0
2023-06-30,2023-26,108586.0
2023-07-07,2023-27,110415.0
2023-07-14,2023-28,113060.0
2023-07-21,2023-29,113550.0
2023-07-28,2023-30,113773.0
2023-08-04,2023-31,115590.0
2023-08-11,2023-32,116318.0
2023-08-18,2023-33,117074.0
2023-08-25,2023-34,117298.0
2023-09-01,2023-35,120623.0
2023-09-08,2023-36,120643.0
2023-09-15,2023-37,121514.0
2023-09-22,2023-38,125502.0
2023-09-29,2023-39,122202.0
2023-10-06,2023-40,122882.0
2023-10-13,2023-41,124497.0
2023-10-20,2023-42,126124.0
2023-10-27,2023-43,126559.0
2023-11-03,2023-44,128418.0
2023-11-10,2023-45,128612.0
2023-11-17,2023-46,134467.0
2023-11-24,2023-47,136492.0
2023-12-01,2023-48,140148.0
2023-12-08,2023-49,141373.0
2023-12-15,2023-50,142527.0
2023-12-22,2023-51,145452.0
2023-12-29,2023-52,141060.0
2024-01-05,2024-1,139611.77
2024-01-12,2024-2,139799.18
2024-01-19,2024-3,138090.91
2024-01-26,2024-4,137160.55
2024-02-02,2024-5,135443.66
2024-02-09,2024-6,134926.82
2024-02-16,2024-7,134208.13
2024-02-23,2024-8,131749.86
2024-03-01,2024-9,130919.25
2024-03-08,2024-10,130532.84
2024-03-15,2024-11,127896.71
2024-03-22,2024-12,123844.32
2024-03-29,2024-13,123126.05
2024-04-05,2024-14,126871.2
2024-04-12,2024-15,128445.93
2024-04-19,2024-16,126283.55
2024-04-26,2024-17,124080.07
2024-05-03,2024-18,126854.89
2024-05-10,2024-19,134402.04
2024-05-17,2024-20,139125.27
2024-05-24,2024-21,142241.68
2024-05-31,2024-22,143648.24
2024-06-07,2024-23,146151.68
2024-06-14,2024-24,146300.57
2024-06-21,2024-25,147621.74
2024-06-28,2024-26,142910.1257243
2024-07-05,2024-27,148447.9190858
2024-07-12,2024-28,153795.736575
2024-07-19,2024-29,153909.9068371
2024-07-26,2024-30,148010.895059
2024-08-02,2024-31,150385.5259657
2024-08-09,2024-32,150233.1126166
2024-08-16,2024-33,152914.8214126
2024-08-23,2024-34,150412.7631416
2024-08-30,2024-35,149372.9182984
2024-09-06,2024-36,146760.8331687
2024-09-13,2024-37,153549.7076263
2024-09-20,2024-38,156391.9051053
2024-09-27,2024-39,157390.4129837
2024-10-04,2024-40,156315.1675334
2024-10-11,2024-41,157385.9520031
2024-10-18,2024-42,159364.7786783
2024-10-25,2024-43,159398.089511
2024-11-01,2024-44,159618.5665341
2024-11-08,2024-45,157307.8921419
2024-11-15,2024-46,156684.1720895
2024-11-22,2024-47,156638.7249162
2024-11-29,2024-48,157738.1709705
2024-12-06,2024-49,159390.0132371
2024-12-13,2024-50,163481.6102729
2024-12-20,2024-51,156194.0071472
2024-12-27,2024-52,155057.2516213
2025-01-03,2025-1,157933.3661442
2025-01-10,2025-2,160446.7980653
2025-01-17,2025-3,163302.6971374
2025-01-24,2025-4,167559.9604681
2025-01-31,2025-5,165974.5881414
2025-02-07,2025-6,167491.5204615
2025-02-14,2025-7,173152.3330411
2025-02-21,2025-8,169994.8916606
2025-02-28,2025-9,165416.6387095
2025-03-07,2025-10,169915.2152864
2025-03-14,2025-11,171081.539491
2025-03-21,2025-12,163114.2003429
2025-03-28,2025-13,156511.1639948
2025-04-04,2025-14,154260.5374805
2025-04-11,2025-15,147488.4545988
2025-04-18,2025-16,146556.7560843
2025-04-25,2025-17,141050.6192174
2025-05-02,2025-18,138532.0837981
2025-05-09,2025-19,144342.8875908
2025-05-16,2025-20,145657.0052466
2025-05-23,2025-21,153109.7153867
2025-05-30,2025-22,153190.1275717
2025-06-06,2025-23,155878.8819817
2025-06-13,2025-24,159287.7271951
2025-06-20,2025-25,155697.9401268
2025-06-27,2025-26,154410.8356151
2025-07-04,2025-27,164397.4374827
2025-07-11,2025-28,166243.276418
2025-07-18,2025-29,168568.5171661
2025-07-25,2025-30,171847.5351609
2025-08-01,2025-31,168987.8682787
2025-08-08,2025-32,174364.8395793
2025-08-15,2025-33,176510.041612
2025-08-22,2025-34,176326.6006422
2025-08-29,2025-35,178356.8418368
2025-09-05,2025-36,180106.8430646
2025-09-12,2025-37,177860.1344774
2025-09-19,2025-38,178852.4963265
2025-09-26,2025-39,182952.5414422
2025-10-03,2025-40,186216.3656109
2025-10-10,2025-41,189734.1330288
