Tarih,TP_AB_A08
2002-12-26,-1193354.2
2002-12-27,-752726.9
2002-12-30,-798222.4
2002-12-31,-1146600.9
2003-01-01,
2003-01-02,-1133576.2
2003-01-03,-1182626.0
2003-01-06,-1228974.7
2003-01-07,-1195111.8
2003-01-08,-1311325.0
2003-01-09,-1344974.7
2003-01-10,-1254342.1
2003-01-13,-1183714.9
2003-01-14,-1164152.0
2003-01-15,-1150880.2
2003-01-16,-1194303.0
2003-01-17,-1143785.6
2003-01-20,-1096325.2
2003-01-21,-1122228.2
2003-01-22,-1090928.7
2003-01-23,-1114883.6
2003-01-24,-1069862.3
2003-01-27,-1022115.3
2003-01-28,-985781.0
2003-01-29,-1003180.9
2003-01-30,-959240.5
2003-01-31,-960956.9
2003-02-03,-893647.1
2003-02-04,-872830.0
2003-02-05,-836681.0
2003-02-06,-835593.7
2003-02-07,-811956.0
2003-02-10,-818384.7
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,-818169.7
2003-02-18,-946247.4
2003-02-19,-812647.0
2003-02-20,-808193.1
2003-02-21,-783716.0
2003-02-24,-705847.0
2003-02-25,-720842.0
2003-02-26,-690627.8
2003-02-27,-713786.6
2003-02-28,-618215.9
2003-03-03,-551613.5
2003-03-04,-871064.2
2003-03-05,-726844.8
2003-03-06,-534205.6
2003-03-07,-532765.6
2003-03-10,-520189.7
2003-03-11,-483074.7
2003-03-12,-534184.0
2003-03-13,-555369.3
2003-03-14,-684385.5
2003-03-17,-830981.6
2003-03-18,-1008514.2
2003-03-19,-931801.3
2003-03-20,-1174765.5
2003-03-21,-1235832.3
2003-03-24,-1332466.4
2003-03-25,-1472934.1
2003-03-26,-1373137.3
2003-03-27,-1223319.1
2003-03-28,-1211275.3
2003-03-31,-1165871.9
2003-04-01,-1036832.4
2003-04-02,-1004509.0
2003-04-03,-1004406.3
2003-04-04,-963931.5
2003-04-07,-864862.6
2003-04-08,-909505.0
2003-04-09,-792827.0
2003-04-10,-813965.2
2003-04-11,-836535.7
2003-04-14,-808157.2
2003-04-15,-735087.2
2003-04-16,-664841.7
2003-04-17,-614472.3
2003-04-18,-531802.9
2003-04-21,-538534.7
2003-04-22,-414866.8
2003-04-23,
2003-04-24,-391030.9
2003-04-25,-357567.3
2003-04-28,-350815.5
2003-04-29,-303696.5
2003-04-30,-348519.3
2003-05-01,-202891.7
2003-05-02,-96574.3
2003-05-05,1462.4
2003-05-06,18128.0
2003-05-07,74996.5
2003-05-08,122229.4
2003-05-09,153517.4
2003-05-12,266669.3
2003-05-13,336953.7
2003-05-14,316883.1
2003-05-15,344963.7
2003-05-16,333105.3
2003-05-19,
2003-05-20,282180.3
2003-05-21,459158.9
2003-05-22,521997.4
2003-05-23,453812.7
2003-05-26,559694.1
2003-05-27,587463.7
2003-05-28,634911.4
2003-05-29,614594.0
2003-05-30,629604.1
2003-06-02,744795.9
2003-06-03,700597.8
2003-06-04,665526.5
2003-06-05,686236.6
2003-06-06,627313.3
2003-06-09,730947.2
2003-06-10,730665.9
2003-06-11,693250.5
2003-06-12,707553.1
2003-06-13,748653.9
2003-06-16,766598.6
2003-06-17,812004.8
2003-06-18,795325.6
2003-06-19,751022.4
2003-06-20,666143.0
2003-06-23,722565.6
2003-06-24,599025.0
2003-06-25,585897.8
2003-06-26,567063.2
2003-06-27,561899.0
2003-06-30,561871.0
2003-07-01,632335.7
2003-07-02,702823.4
2003-07-03,731359.9
2003-07-04,732284.5
2003-07-07,753305.6
2003-07-08,674400.4
2003-07-09,635964.2
2003-07-10,593866.1
2003-07-11,637931.6
2003-07-14,703400.2
2003-07-15,715546.6
2003-07-16,763282.0
2003-07-17,676569.5
2003-07-18,699493.0
2003-07-21,616509.0
2003-07-22,690011.0
2003-07-23,720872.0
2003-07-24,674259.0
2003-07-25,558455.0
2003-07-28,606759.0
2003-07-29,634783.0
2003-07-30,494831.0
2003-07-31,520112.0
