Tarih,TP_AB_A15
2002-07-10,18923978.0
2002-07-11,19506134.0
2002-07-12,19535522.0
2002-07-15,19509272.0
2002-07-16,19508888.0
2002-07-17,19481453.0
2002-07-18,19429947.0
2002-07-19,19428205.0
2002-07-22,19439154.0
2002-07-23,19425027.0
2002-07-24,19466794.0
2002-07-25,19434930.0
2002-07-26,19647809.0
2002-07-29,19329969.0
2002-07-30,19383748.0
2002-07-31,19415330.0
2002-08-01,19387023.0
2002-08-02,18375897.0
2002-08-05,18270405.0
2002-08-06,18272683.0
2002-08-07,18281974.0
2002-08-08,18015456.0
2002-08-09,18041208.0
2002-08-12,18007676.0
2002-08-13,18249926.0
2002-08-14,18280500.0
2002-08-15,18262851.0
2002-08-16,18394486.0
2002-08-19,18988417.0
2002-08-20,18983273.0
2002-08-21,18940090.0
2002-08-22,18937534.0
2002-08-23,18923987.0
2002-08-26,18878795.0
2002-08-27,18843579.0
2002-08-28,18874681.0
2002-08-29,18768397.0
2002-08-30,
2002-09-02,18778847.0
2002-09-03,18767097.0
2002-09-04,18583358.0
2002-09-05,18592296.0
2002-09-06,18609106.0
2002-09-09,18607380.0
2002-09-10,17872412.0
2002-09-11,18703108.0
2002-09-12,18904115.0
2002-09-13,19197559.0
2002-09-16,19200574.0
2002-09-17,19070757.0
2002-09-18,19218977.0
2002-09-19,19219160.0
2002-09-20,19204763.0
2002-09-23,18971461.0
2002-09-24,18967343.0
2002-09-25,18976200.0
2002-09-26,18882029.0
2002-09-27,18797664.6
2002-09-30,18824005.3
2002-10-01,19017052.3
2002-10-02,19024382.3
2002-10-03,18993440.3
2002-10-04,19007932.3
2002-10-07,19021541.3
2002-10-08,19019298.3
2002-10-09,19009316.3
2002-10-10,18994163.3
2002-10-11,18734180.3
2002-10-14,18717079.3
2002-10-15,18727750.3
2002-10-16,18108159.3
2002-10-17,18206398.3
2002-10-18,18173662.3
2002-10-21,18176038.3
2002-10-22,18180457.3
2002-10-23,19567874.3
2002-10-24,19564315.3
2002-10-25,19560558.3
2002-10-28,19551134.3
2002-10-29,
2002-10-30,19557886.3
2002-10-31,19547599.7
2002-11-01,19470322.7
2002-11-04,19481872.7
2002-11-05,19474777.7
2002-11-06,19523316.7
2002-11-07,19611961.7
2002-11-08,19626427.7
2002-11-11,19662608.7
2002-11-12,20037530.7
2002-11-13,21956905.7
2002-11-14,22047711.7
2002-11-15,22204818.7
2002-11-18,22204360.7
2002-11-19,22214276.7
2002-11-20,22277985.7
2002-11-21,22285727.7
2002-11-22,22306132.7
2002-11-25,22222090.7
2002-11-26,22211995.7
2002-11-27,22086056.7
2002-11-28,22107940.7
2002-11-29,22049069.7
2002-12-02,22068869.7
2002-12-03,22026772.0
2002-12-04,21669590.7
2002-12-05,
2002-12-06,
2002-12-09,21692401.7
2002-12-10,20622850.7
2002-12-11,20631779.7
2002-12-12,20996763.7
2002-12-13,21173516.7
2002-12-16,21170995.7
2002-12-17,21143979.7
2002-12-18,21143734.7
2002-12-19,20909621.7
2002-12-20,20986029.7
2002-12-23,20995316.7
2002-12-24,20942677.7
2002-12-25,20948346.7
2002-12-26,20869668.7
2002-12-27,19966470.7
2002-12-30,20240262.7
2002-12-31,20519454.1
2003-01-01,
2003-01-02,20878798.1
2003-01-03,21157571.1
2003-01-06,21172513.1
2003-01-07,21191104.1
2003-01-08,22850884.1
2003-01-09,22867592.1
2003-01-10,23246800.1
2003-01-13,23583242.1
2003-01-14,23913825.1
2003-01-15,23982208.1
2003-01-16,23996173.0
2003-01-17,23934698.1
2003-01-20,23903678.1
2003-01-21,23808504.1
2003-01-22,23845317.1
2003-01-23,23862222.1
2003-01-24,23874981.1
2003-01-27,23833214.1
2003-01-28,23840351.1
2003-01-29,23776277.1
2003-01-30,23754704.1
2003-01-31,23759604.8
2003-02-03,23743473.8
2003-02-04,22609943.8
2003-02-05,23684804.0
2003-02-06,24011947.8
2003-02-07,24064992.0
2003-02-10,24121792.8
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,24723793.8
2003-02-18,24685407.8
2003-02-19,24691460.8
2003-02-20,24716921.8
2003-02-21,24605976.0
2003-02-24,24622537.0
2003-02-25,24630983.0
2003-02-26,24416619.8
2003-02-27,24382137.8
2003-02-28,24397680.1
2003-03-03,24422375.1
2003-03-04,24431883.1
2003-03-05,24410558.1
2003-03-06,24425380.1
2003-03-07,24430838.1
2003-03-10,23904022.1
2003-03-11,23904550.1
2003-03-12,23729141.0
2003-03-13,23556964.1
2003-03-14,23508485.1
2003-03-17,23458531.1
2003-03-18,23461032.1
2003-03-19,23640210.1
2003-03-20,23599157.1
2003-03-21,23622868.1
2003-03-24,23617088.1
2003-03-25,23610962.1
2003-03-26,23598301.1
2003-03-27,23533278.1
2003-03-28,23486668.1
2003-03-31,23284910.3
2003-04-01,23520218.3
2003-04-02,23512797.3
2003-04-03,23487375.3
2003-04-04,23512827.3
2003-04-07,23526896.3
2003-04-08,23513771.3
2003-04-09,23432791.3
2003-04-10,23373272.3
2003-04-11,23171093.3
2003-04-14,23165412.3
2003-04-15,23084690.3
2003-04-16,23061560.3
2003-04-17,23051044.3
2003-04-18,23108365.3
2003-04-21,23118311.3
2003-04-22,22952982.3
2003-04-23,
2003-04-24,22967103.3
2003-04-25,22943401.3
2003-04-28,22925950.3
2003-04-29,22783854.3
2003-04-30,22797502.3
2003-05-01,22703232.3
2003-05-02,22737228.3
2003-05-05,22622034.3
2003-05-06,22582438.3
2003-05-07,21847597.3
2003-05-08,21848340.3
2003-05-09,21893524.3
2003-05-12,18891495.3
2003-05-13,19623631.6
2003-05-14,19670523.6
2003-05-15,19929350.6
2003-05-16,19969213.6
2003-05-19,
2003-05-20,20053675.6
2003-05-21,20331574.6
2003-05-22,20849920.6
2003-05-23,20793088.6
2003-05-26,20785617.6
2003-05-27,20835745.6
2003-05-28,20818693.6
2003-05-29,20794204.6
2003-05-30,20789508.8
2003-06-02,20352997.8
2003-06-03,20360245.8
2003-06-04,19026039.8
2003-06-05,19064213.8
2003-06-06,19211172.8
2003-06-09,19302611.8
2003-06-10,20067573.8
2003-06-11,19626588.8
2003-06-12,19654773.8
2003-06-13,19534997.8
2003-06-16,19677203.8
2003-06-17,19737218.8
2003-06-18,20636698.8
2003-06-19,20588195.8
2003-06-20,20809959.8
2003-06-23,20947902.8
2003-06-24,20986257.8
2003-06-25,21040899.8
2003-06-26,21088001.8
2003-06-27,21104362.8
2003-06-30,21087510.9
2003-07-01,21372910.9
2003-07-02,21458773.9
2003-07-03,21516799.9
2003-07-04,21516451.9
2003-07-07,20692078.9
2003-07-08,20742469.9
2003-07-09,19523183.9
2003-07-10,20055143.9
2003-07-11,20829258.9
2003-07-14,20883619.9
2003-07-15,20927110.9
2003-07-16,21001894.9
2003-07-17,21491599.9
2003-07-18,22706568.0
2003-07-21,22835250.0
2003-07-22,22909974.0
2003-07-23,23003174.0
2003-07-24,23211079.0
2003-07-25,23256117.0
2003-07-28,23287663.0
2003-07-29,23307154.0
2003-07-30,23372917.0
2003-07-31,23426134.0
2003-08-01,23466909.6
2003-08-04,23522041.1
2003-08-05,23583564.1
2003-08-06,23666752.1
2003-08-07,23464623.1
2003-08-08,23523252.0
2003-08-11,23584554.0
2003-08-12,23663481.0
2003-08-13,23683500.0
2003-08-14,23749680.0
2003-08-15,23824926.6
2003-08-18,23887776.6
2003-08-19,23967263.6
2003-08-20,22806125.6
2003-08-21,22849784.6
2003-08-22,22910611.6
2003-08-25,22981191.6
2003-08-26,23013425.6
2003-08-27,23081469.6
2003-08-28,23140467.6
2003-08-29,23066805.3
2003-09-01,23064978.3
2003-09-02,23144815.3
2003-09-03,23199087.3
2003-09-04,23266570.3
2003-09-05,23370746.3
2003-09-08,23454868.3
2003-09-09,23543904.3
2003-09-10,24654074.3
2003-09-11,25904538.3
2003-09-12,26021697.0
2003-09-15,26130700.3
2003-09-16,26160086.3
2003-09-17,26147940.3
2003-09-18,26245971.3
2003-09-19,26416948.3
2003-09-22,25607069.3
2003-09-23,25701008.3
2003-09-24,25290694.3
2003-09-25,26445287.3
2003-09-26,27373762.0
2003-09-29,27382033.0
2003-09-30,27427334.7
2003-10-01,27645822.7
2003-10-02,27765375.7
2003-10-03,27843499.7
2003-10-06,27920694.7
2003-10-07,28085244.0
2003-10-08,28113612.0
2003-10-09,28280071.0
2003-10-10,28433957.0
2003-10-13,28665927.0
2003-10-14,28818983.0
2003-10-15,28909021.3
2003-10-16,29042062.0
2003-10-17,29173281.0
2003-10-20,29344075.0
2003-10-21,29414246.0
2003-10-22,28194814.0
2003-10-23,28173820.0
2003-10-24,28051455.0
2003-10-27,27950707.0
2003-10-28,27956360.0
2003-10-29,
2003-10-30,27819981.0
2003-10-31,27745305.0
2003-11-03,27666563.0
2003-11-04,27680884.0
2003-11-05,27692131.0
2003-11-06,27622672.0
2003-11-07,27308834.9
2003-11-10,27296264.9
2003-11-11,27280196.9
2003-11-12,27286539.9
2003-11-13,27248749.9
2003-11-14,27226280.9
2003-11-17,26744918.2
2003-11-18,26740615.2
2003-11-19,26742252.2
2003-11-20,26050413.2
2003-11-21,25722611.0
2003-11-24,25731804.2
2003-11-25,
2003-11-26,
2003-11-27,
2003-11-28,25107621.2
2003-12-01,25115296.2
2003-12-02,25086652.2
2003-12-03,24984754.2
2003-12-04,24964696.2
2003-12-05,24947684.2
2003-12-08,24937354.2
2003-12-09,24933094.2
2003-12-10,24413427.2
