Tarih,TP_BL002,TP_BL002
2019-01-18,2019-3,109362174.0
2019-01-25,2019-4,104753306.0
2019-02-01,2019-5,107170349.0
2019-02-08,2019-6,107160675.0
2019-02-15,2019-7,107997060.0
2019-02-22,2019-8,109197514.0
2019-03-01,2019-9,111506934.0
2019-03-08,2019-10,110971219.0
2019-03-15,2019-11,112823154.0
2019-03-22,2019-12,114156242.0
2019-03-29,2019-13,115470319.0
2019-04-05,2019-14,116109384.0
2019-04-12,2019-15,119102488.0
2019-04-19,2019-16,118400826.0
2019-04-26,2019-17,120398764.0
2019-05-03,2019-18,121633468.0
2019-05-10,2019-19,128167854.0
2019-05-17,2019-20,124361464.0
2019-05-24,2019-21,125292886.0
2019-05-31,2019-22,121532248.0
2019-06-07,2019-23,125927616.0
2019-06-14,2019-24,126155700.0
2019-06-21,2019-25,130583467.0
2019-06-28,2019-26,131781955.0
2019-07-05,2019-27,129339594.0
2019-07-12,2019-28,131432962.0
2019-07-19,2019-29,132339361.0
2019-07-26,2019-30,133454641.0
2019-08-02,2019-31,129318979.0
2019-08-09,2019-32,136273608.0
2019-08-16,2019-33,140769602.0
2019-08-23,2019-34,142019273.0
2019-08-30,2019-35,149096771.0
2019-09-06,2019-36,145081427.0
2019-09-13,2019-37,142931533.0
2019-09-20,2019-38,147159000.0
2019-09-27,2019-39,147603120.0
2019-10-04,2019-40,147761367.0
2019-10-11,2019-41,151506401.0
2019-10-18,2019-42,155299675.0
2019-10-25,2019-43,152047025.0
2019-11-01,2019-44,154141068.0
2019-11-08,2019-45,152627748.0
2019-11-15,2019-46,146182802.0
2019-11-22,2019-47,151211925.0
2019-11-29,2019-48,152442533.0
2019-12-06,2019-49,154197338.0
2019-12-13,2019-50,150376607.0
2019-12-20,2019-51,156594574.0
2019-12-27,2019-52,148725068.0
2020-01-03,2020-1,163379583.0
2020-01-10,2020-2,164358773.0
2020-01-17,2020-3,164936366.0
2020-01-24,2020-4,158761072.0
2020-01-31,2020-5,164336813.0
2020-02-07,2020-6,169172338.0
2020-02-14,2020-7,172824649.0
2020-02-21,2020-8,180353631.0
2020-02-28,2020-9,187309251.0
2020-03-06,2020-10,192615541.0
2020-03-13,2020-11,197317498.0
2020-03-20,2020-12,184417358.0
2020-03-27,2020-13,202234606.0
2020-04-03,2020-14,208725831.0
2020-04-10,2020-15,221497530.0
2020-04-17,2020-16,234562615.0
2020-04-24,2020-17,235512916.0
2020-05-01,2020-18,242758461.0
2020-05-08,2020-19,250448865.0
2020-05-15,2020-20,247122122.0
2020-05-22,2020-21,249892911.0
2020-05-29,2020-22,248944109.0
2020-06-05,2020-23,247030028.0
2020-06-12,2020-24,254888763.0
2020-06-19,2020-25,262649541.0
2020-06-26,2020-26,265669393.0
2020-07-03,2020-27,267961992.0
2020-07-10,2020-28,277032981.0
2020-07-17,2020-29,275370433.0
2020-07-24,2020-30,287778914.0
2020-07-31,2020-31,302270340.0
2020-08-07,2020-32,323811905.0
2020-08-14,2020-33,313187208.0
2020-08-21,2020-34,315715199.0
2020-08-28,2020-35,314951927.0
2020-09-04,2020-36,315697777.0
2020-09-11,2020-37,319890002.0
2020-09-18,2020-38,324361825.0
2020-09-25,2020-39,314927104.0
2020-10-02,2020-40,324938799.0
2020-10-09,2020-41,335274985.0
2020-10-16,2020-42,337562071.0
2020-10-23,2020-43,337572938.0
2020-10-30,2020-44,342281289.0
2020-11-06,2020-45,365752220.0
2020-11-13,2020-46,326987078.0
2020-11-20,2020-47,317346818.0
2020-11-27,2020-48,318136953.0
2020-12-04,2020-49,315895275.0
2020-12-11,2020-50,320004960.0
2020-12-18,2020-51,325601102.0
2020-12-25,2020-52,327785089.0
2021-01-01,2021-1,317412330.0
2021-01-08,2021-2,319202966.0
2021-01-15,2021-3,311641113.0
2021-01-22,2021-4,316154271.0
2021-01-29,2021-5,310882577.0
2021-02-05,2021-6,293519831.0
2021-02-12,2021-7,294966453.0
2021-02-19,2021-8,279388453.0
2021-02-26,2021-9,292868289.0
2021-03-05,2021-10,286291714.0
2021-03-12,2021-11,289951376.0
2021-03-19,2021-12,292796228.0
2021-03-26,2021-13,315617798.0
2021-04-02,2021-14,321608899.0
2021-04-09,2021-15,325614824.0
2021-04-16,2021-16,321100844.0
2021-04-23,2021-17,331677319.0
2021-04-30,2021-18,334666884.0
2021-05-07,2021-19,344448682.0
2021-05-14,2021-20,351217025.0
2021-05-21,2021-21,361947558.0
2021-05-28,2021-22,370041615.0
2021-06-04,2021-23,379837915.0
2021-06-11,2021-24,368155265.0
2021-06-18,2021-25,356174298.0
2021-06-25,2021-26,354324123.0
2021-07-02,2021-27,352235265.0
2021-07-09,2021-28,360381818.0
2021-07-16,2021-29,361782911.0
2021-07-23,2021-30,355530005.0
2021-07-30,2021-31,353432028.0
2021-08-06,2021-32,351915751.0
2021-08-13,2021-33,340687105.0
2021-08-20,2021-34,343729985.0
2021-08-27,2021-35,336889969.0
2021-09-03,2021-36,340044200.0
2021-09-10,2021-37,342688990.0
2021-09-17,2021-38,332266952.0
2021-09-24,2021-39,339448395.0
2021-10-01,2021-40,341973756.0
2021-10-08,2021-41,337666382.0
2021-10-15,2021-42,363587007.0
2021-10-22,2021-43,368599486.0
2021-10-29,2021-44,376203767.0
2021-11-05,2021-45,384183386.0
2021-11-12,2021-46,406550681.0
2021-11-19,2021-47,433013201.0
2021-11-26,2021-48,469462924.0
2021-12-03,2021-49,523098295.0
2021-12-10,2021-50,532376683.0
2021-12-17,2021-51,585755863.0
2021-12-24,2021-52,439374657.0
2021-12-31,2021-53,499485010.0
2022-01-07,2022-1,524351389.0
2022-01-14,2022-2,525986137.0
2022-01-21,2022-3,524519441.0
2022-01-28,2022-4,524388859.0
2022-02-04,2022-5,527797317.0
2022-02-11,2022-6,537661986.0
2022-02-18,2022-7,560860435.0
2022-02-25,2022-8,611202689.0
2022-03-04,2022-9,593840619.0
2022-03-11,2022-10,641759492.0
2022-03-18,2022-11,619184854.0
2022-03-25,2022-12,628491949.0
2022-04-01,2022-13,616283209.0
2022-04-08,2022-14,621484169.0
2022-04-15,2022-15,631308686.0
2022-04-22,2022-16,627767097.0
2022-04-29,2022-17,612872312.0
2022-05-06,2022-18,617585103.0
2022-05-13,2022-19,625506686.0
2022-05-20,2022-20,640794297.0
2022-05-27,2022-21,681099336.0
2022-06-03,2022-22,678608126.0
2022-06-10,2022-23,717611867.0
2022-06-17,2022-24,718827424.0
2022-06-24,2022-25,721525901.0
2022-07-01,2022-26,685676047.0
2022-07-08,2022-27,686682527.0
2022-07-15,2022-28,685375584.0
2022-07-22,2022-29,680648704.0
2022-07-29,2022-30,719087702.0
2022-08-05,2022-31,732971165.0
2022-08-12,2022-32,738540765.0
2022-08-19,2022-33,732439693.0
2022-08-26,2022-34,740824809.0
2022-09-02,2022-35,720534956.0
2022-09-09,2022-36,728812036.0
2022-09-16,2022-37,728140748.0
2022-09-23,2022-38,723864501.0
2022-09-30,2022-39,721570739.0
2022-10-07,2022-40,755798258.0
2022-10-14,2022-41,739928341.0
2022-10-21,2022-42,721419134.0
2022-10-28,2022-43,731934252.0
2022-11-04,2022-44,716119634.0
2022-11-11,2022-45,759927785.0
2022-11-18,2022-46,796923606.0
2022-11-25,2022-47,796914432.0
2022-12-02,2022-48,813141772.0
2022-12-09,2022-49,818434659.0
2022-12-16,2022-50,817956050.0
2022-12-23,2022-51,848495619.0
2022-12-30,2022-52,857249028.0
2023-01-06,2023-1,876039193.0
2023-01-13,2023-2,902182350.0
2023-01-20,2023-3,930990310.0
2023-01-27,2023-4,956793910.0
2023-02-03,2023-5,971439436.0
2023-02-10,2023-6,940684726.0
2023-02-17,2023-7,926721626.0
2023-02-24,2023-8,927473747.0
2023-03-03,2023-9,944825082.0
2023-03-10,2023-10,952460442.0
2023-03-17,2023-11,1004926608.0
2023-03-24,2023-12,1014993513.0
2023-03-31,2023-13,998956287.0
2023-04-07,2023-14,1012056928.0
2023-04-14,2023-15,1006270823.0
2023-04-21,2023-16,954544835.0
2023-04-28,2023-17,900894657.0
2023-05-05,2023-18,889932754.0
2023-05-12,2023-19,865811066.0
2023-05-19,2023-20,843912062.0
2023-05-26,2023-21,834704112.0
2023-06-02,2023-22,876723362.0
2023-06-09,2023-23,979334359.0
2023-06-16,2023-24,993258875.0
2023-06-23,2023-25,976018437.0
2023-06-30,2023-26,1069903100.0
2023-07-07,2023-27,1056916449.0
2023-07-14,2023-28,1088685148.0
2023-07-21,2023-29,1125952199.0
2023-07-28,2023-30,1115613437.0
2023-08-04,2023-31,1114706350.0
2023-08-11,2023-32,1112789149.0
2023-08-18,2023-33,1103917308.0
2023-08-25,2023-34,1120151606.0
2023-09-01,2023-35,1116168233.0
2023-09-08,2023-36,1109017360.0
2023-09-15,2023-37,1115434943.0
2023-09-22,2023-38,1125755321.0
2023-09-29,2023-39,1112214063.0
2023-10-06,2023-40,1093655063.0
2023-10-13,2023-41,1141319289.0
2023-10-20,2023-42,1218096348.0
2023-10-27,2023-43,1240686939.0
2023-11-03,2023-44,1258938290.0
2023-11-10,2023-45,1252078520.0
2023-11-17,2023-46,1296297275.0
2023-11-24,2023-47,1309308831.0
2023-12-01,2023-48,1352152440.0
2023-12-08,2023-49,1353154259.0
2023-12-15,2023-50,1365815222.0
2023-12-22,2023-51,1393287637.0
2023-12-29,2023-52,1417869832.0
2024-01-05,2024-1,1417012522.0
2024-01-12,2024-2,1432284985.0
2024-01-19,2024-3,1435803971.0
2024-01-26,2024-4,1450691631.0
2024-02-02,2024-5,1482135652.0
2024-02-09,2024-6,1482838647.0
2024-02-16,2024-7,1477015108.0
2024-02-23,2024-8,1525332535.0
2024-03-01,2024-9,1570705999.0
2024-03-08,2024-10,1676154238.0
2024-03-15,2024-11,1699531716.0
2024-03-22,2024-12,1717721320.0
2024-03-29,2024-13,1754221328.0
2024-04-05,2024-14,1804607470.0
2024-04-12,2024-15,1870606863.0
2024-04-19,2024-16,1923695611.0
2024-04-26,2024-17,1919682680.0
2024-05-03,2024-18,1865092509.0
2024-05-10,2024-19,1937024822.0
2024-05-17,2024-20,1947954719.0
2024-05-24,2024-21,1911696160.0
2024-05-31,2024-22,1926540848.0
2024-06-07,2024-23,1924084368.0
2024-06-14,2024-24,1865150931.0
2024-06-21,2024-25,1925819043.0
2024-06-28,2024-26,1907349949.0
2024-07-05,2024-27,1908353507.0
2024-07-12,2024-28,1952794796.0
2024-07-19,2024-29,1956379896.0
2024-07-26,2024-30,1850492593.0
2024-08-02,2024-31,1915058745.0
2024-08-09,2024-32,1936676969.0
2024-08-16,2024-33,1973143398.0
2024-08-23,2024-34,2020814759.0
2024-08-30,2024-35,2039231332.0
2024-09-06,2024-36,2041076077.0
2024-09-13,2024-37,2081177624.0
2024-09-20,2024-38,2116165438.0
2024-09-27,2024-39,2167485343.0
2024-10-04,2024-40,2167950071.0
2024-10-11,2024-41,2176963474.0
2024-10-18,2024-42,2237079234.0
2024-10-25,2024-43,2252944725.0
2024-11-01,2024-44,2276765502.0
2024-11-08,2024-45,2227842681.0
2024-11-15,2024-46,2146941274.0
2024-11-22,2024-47,2270366685.0
2024-11-29,2024-48,2244259858.0
2024-12-06,2024-49,2232346669.0
2024-12-13,2024-50,2273834627.0
2024-12-20,2024-51,2233623750.0
2024-12-27,2024-52,2264251321.0
2025-01-03,2025-1,2303589818.0
2025-01-10,2025-2,2330007373.0
2025-01-17,2025-3,2354364774.0
2025-01-24,2025-4,2428481626.0
2025-01-31,2025-5,2452738672.0
2025-02-07,2025-6,2528496733.0
2025-02-14,2025-7,2612357006.0
2025-02-21,2025-8,2620575680.0
2025-02-28,2025-9,2569543815.0
2025-03-07,2025-10,2623090689.0
2025-03-14,2025-11,2704332535.0
2025-03-21,2025-12,2835506296.0
2025-03-28,2025-13,2879143114.0
2025-04-04,2025-14,2893629696.0
2025-04-11,2025-15,3009551910.0
2025-04-18,2025-16,3130595689.0
2025-04-25,2025-17,3127141155.0
2025-05-02,2025-18,3106104082.0
2025-05-09,2025-19,3204551182.0
2025-05-16,2025-20,3100664068.0
2025-05-23,2025-21,3259652393.0
2025-05-30,2025-22,3245162297.0
2025-06-06,2025-23,3342257255.0
2025-06-13,2025-24,3393907809.0
2025-06-20,2025-25,3355862243.0
2025-06-27,2025-26,3307563709.0
2025-07-04,2025-27,3357108634.0
2025-07-11,2025-28,3385776196.0
2025-07-18,2025-29,3427809422.0
2025-07-25,2025-30,3442385776.0
2025-08-01,2025-31,3406267791.0
2025-08-08,2025-32,3520715636.0
2025-08-15,2025-33,3483983652.0
2025-08-22,2025-34,3482664122.0
2025-08-29,2025-35,3578053611.0
2025-09-05,2025-36,3736422082.0
2025-09-12,2025-37,3847526781.0
2025-09-19,2025-38,3866542907.0
2025-09-26,2025-39,3984417392.0
2025-10-03,2025-40,4119142381.0
2025-10-10,2025-41,4264016987.0
