Tarih,TP_AB_N14,TP_AB_N14
2013-04-19,2013-16,-9966692.0
2013-04-26,2013-17,-9936160.0
2013-05-03,2013-18,-10042680.0
2013-05-10,2013-19,-9844476.0
2013-05-17,2013-20,-10040837.0
2013-05-24,2013-21,-9972296.0
2013-05-31,2013-22,-10051204.0
2013-06-07,2013-23,-10201525.0
2013-06-14,2013-24,-10199474.0
2013-06-21,2013-25,-10437211.0
2013-06-28,2013-26,-10170081.0
2013-07-05,2013-27,-10208419.0
2013-07-12,2013-28,-10949727.0
2013-07-19,2013-29,-10027274.0
2013-07-26,2013-30,-9995897.0
2013-08-02,2013-31,-10168365.0
2013-08-09,2013-32,-9940368.0
2013-08-16,2013-33,-9652263.0
2013-08-23,2013-34,-9711716.0
2013-08-30,2013-35,-10005467.0
2013-09-06,2013-36,-9741604.0
2013-09-13,2013-37,-10008195.0
2013-09-20,2013-38,-9216572.0
2013-09-27,2013-39,-9536515.0
2013-10-04,2013-40,-9160240.0
2013-10-11,2013-41,-9513082.0
2013-10-18,2013-42,-9513307.0
2013-10-25,2013-43,-9178233.0
2013-11-01,2013-44,-8930381.0
2013-11-08,2013-45,-9044713.0
2013-11-15,2013-46,-8907559.0
2013-11-22,2013-47,-8734182.0
2013-11-29,2013-48,-8960478.0
2013-12-06,2013-49,-8822001.0
2013-12-13,2013-50,-8942881.0
2013-12-20,2013-51,-8932261.0
2013-12-27,2013-52,-9459655.0
2014-01-03,2014-1,-9179511.0
2014-01-10,2014-2,-9411241.0
2014-01-17,2014-3,-9133999.0
2014-01-24,2014-4,-9374881.0
2014-01-31,2014-5,-9426581.0
2014-02-07,2014-6,-8986338.0
2014-02-14,2014-7,-9229567.0
2014-02-21,2014-8,-9047084.0
2014-02-28,2014-9,-9108295.0
2014-03-07,2014-10,-8975524.0
2014-03-14,2014-11,-9708238.0
2014-03-21,2014-12,-9071340.0
2014-03-28,2014-13,-8953002.0
2014-04-04,2014-14,-8421756.0
2014-04-11,2014-15,-8655883.0
2014-04-18,2014-16,-8374003.0
2014-04-25,2014-17,-8226618.0
2014-05-02,2014-18,-8029746.0
2014-05-09,2014-19,-7882617.0
2014-05-16,2014-20,-7961383.0
2014-05-23,2014-21,-7613259.0
2014-05-30,2014-22,-7869664.0
2014-06-06,2014-23,-7481566.0
2014-06-13,2014-24,-7400697.0
