Tarih,TP_TRYTAS_MT05,TP_TRYTAS_MT05
2012-02-10,2012-6,
2012-02-17,2012-7,
2012-02-24,2012-8,
2012-03-02,2012-9,
2012-03-09,2012-10,
2012-03-16,2012-11,
2012-03-23,2012-12,
2012-03-30,2012-13,
2012-04-06,2012-14,
2012-04-13,2012-15,
2012-04-20,2012-16,
2012-04-27,2012-17,
2012-05-04,2012-18,
2012-05-11,2012-19,
2012-05-18,2012-20,
2012-05-25,2012-21,
2012-06-01,2012-22,
2012-06-08,2012-23,
2012-06-15,2012-24,
2012-06-22,2012-25,
2012-06-29,2012-26,
2012-07-06,2012-27,9.45
2012-07-13,2012-28,9.41
2012-07-20,2012-29,9.36
2012-07-27,2012-30,9.26
2012-08-03,2012-31,9.36
2012-08-10,2012-32,9.08
2012-08-17,2012-33,8.93
2012-08-24,2012-34,8.72
2012-08-31,2012-35,9.06
2012-09-07,2012-36,8.72
2012-09-14,2012-37,8.56
2012-09-21,2012-38,8.85
2012-09-28,2012-39,8.53
2012-10-05,2012-40,8.86
2012-10-12,2012-41,8.36
2012-10-19,2012-42,8.45
2012-10-26,2012-43,8.56
2012-11-02,2012-44,8.81
2012-11-09,2012-45,8.4
2012-11-16,2012-46,8.43
2012-11-23,2012-47,8.37
2012-11-30,2012-48,8.84
2012-12-07,2012-49,8.52
2012-12-14,2012-50,8.22
2012-12-21,2012-51,8.66
2012-12-28,2012-52,8.49
2013-01-04,2013-1,8.54
2013-01-11,2013-2,7.95
2013-01-18,2013-3,8.14
2013-01-25,2013-4,7.96
2013-02-01,2013-5,8.3
2013-02-08,2013-6,7.76
2013-02-15,2013-7,7.82
2013-02-22,2013-8,7.62
2013-03-01,2013-9,7.92
2013-03-08,2013-10,7.61
2013-03-15,2013-11,7.53
2013-03-22,2013-12,7.49
2013-03-29,2013-13,7.61
2013-04-05,2013-14,7.8
2013-04-12,2013-15,7.41
2013-04-19,2013-16,7.32
2013-04-26,2013-17,7.16
2013-05-03,2013-18,7.61
2013-05-10,2013-19,7.12
2013-05-17,2013-20,6.86
2013-05-24,2013-21,6.43
2013-05-31,2013-22,7.02
2013-06-07,2013-23,6.95
2013-06-14,2013-24,6.47
2013-06-21,2013-25,8.23
2013-06-28,2013-26,6.85
2013-07-05,2013-27,7.04
2013-07-12,2013-28,6.41
2013-07-19,2013-29,7.0
2013-07-26,2013-30,7.06
2013-08-02,2013-31,7.32
2013-08-09,2013-32,7.4
2013-08-16,2013-33,7.43
2013-08-23,2013-34,7.47
2013-08-30,2013-35,7.7
2013-09-06,2013-36,7.58
2013-09-13,2013-37,7.65
2013-09-20,2013-38,7.79
2013-09-27,2013-39,7.94
2013-10-04,2013-40,7.81
2013-10-11,2013-41,8.1
2013-10-18,2013-42,7.26
2013-10-25,2013-43,7.47
2013-11-01,2013-44,7.3
2013-11-08,2013-45,7.64
2013-11-15,2013-46,8.51
2013-11-22,2013-47,7.71
2013-11-29,2013-48,7.79
2013-12-06,2013-49,7.22
2013-12-13,2013-50,7.84
2013-12-20,2013-51,7.94
2013-12-27,2013-52,8.18
2014-01-03,2014-1,7.69
2014-01-10,2014-2,8.13
2014-01-17,2014-3,8.38
2014-01-24,2014-4,8.24
2014-01-31,2014-5,8.75
2014-02-07,2014-6,9.63
2014-02-14,2014-7,10.68
2014-02-21,2014-8,9.74
2014-02-28,2014-9,9.5
2014-03-07,2014-10,9.81
2014-03-14,2014-11,9.92
2014-03-21,2014-12,8.55
2014-03-28,2014-13,9.23
2014-04-04,2014-14,9.62
2014-04-11,2014-15,10.28
2014-04-18,2014-16,10.08
2014-04-25,2014-17,9.97
2014-05-02,2014-18,9.61
2014-05-09,2014-19,10.41
2014-05-16,2014-20,10.22
2014-05-23,2014-21,10.05
2014-05-30,2014-22,9.65
2014-06-06,2014-23,9.31
2014-06-13,2014-24,9.29
2014-06-20,2014-25,9.5
2014-06-27,2014-26,8.47
2014-07-04,2014-27,8.35
2014-07-11,2014-28,8.01
2014-07-18,2014-29,8.05
2014-07-25,2014-30,7.91
2014-08-01,2014-31,7.89
2014-08-08,2014-32,7.97
2014-08-15,2014-33,7.85
2014-08-22,2014-34,7.88
2014-08-29,2014-35,7.88
2014-09-05,2014-36,8.03
2014-09-12,2014-37,8.02
2014-09-19,2014-38,7.93
2014-09-26,2014-39,8.07
2014-10-03,2014-40,8.78
2014-10-10,2014-41,8.82
2014-10-17,2014-42,8.79
2014-10-24,2014-43,8.48
2014-10-31,2014-44,8.14
2014-11-07,2014-45,8.22
2014-11-14,2014-46,8.76
2014-11-21,2014-47,8.93
2014-11-28,2014-48,8.25
2014-12-05,2014-49,8.22
2014-12-12,2014-50,8.46
2014-12-19,2014-51,7.9
2014-12-26,2014-52,9.4
2015-01-02,2015-1,8.65
2015-01-09,2015-2,8.33
2015-01-16,2015-3,8.4
2015-01-23,2015-4,7.98
2015-01-30,2015-5,8.03
2015-02-06,2015-6,8.33
2015-02-13,2015-7,8.32
2015-02-20,2015-8,8.58
2015-02-27,2015-9,8.34
2015-03-06,2015-10,8.35
2015-03-13,2015-11,8.45
2015-03-20,2015-12,8.13
2015-03-27,2015-13,8.25
2015-04-03,2015-14,8.3
2015-04-10,2015-15,8.11
2015-04-17,2015-16,8.63
2015-04-24,2015-17,8.54
2015-05-01,2015-18,8.98
2015-05-08,2015-19,9.51
2015-05-15,2015-20,9.24
2015-05-22,2015-21,9.57
2015-05-29,2015-22,8.94
2015-06-05,2015-23,8.88
2015-06-12,2015-24,8.74
2015-06-19,2015-25,9.52
2015-06-26,2015-26,8.59
2015-07-03,2015-27,8.51
2015-07-10,2015-28,8.27
2015-07-17,2015-29,9.57
2015-07-24,2015-30,8.28
2015-07-31,2015-31,8.43
2015-08-07,2015-32,8.73
2015-08-14,2015-33,9.0
2015-08-21,2015-34,8.95
2015-08-28,2015-35,8.63
2015-09-04,2015-36,9.38
2015-09-11,2015-37,8.73
2015-09-18,2015-38,8.9
2015-09-25,2015-39,8.46
2015-10-02,2015-40,8.99
2015-10-09,2015-41,9.33
2015-10-16,2015-42,8.85
2015-10-23,2015-43,8.68
2015-10-30,2015-44,8.62
2015-11-06,2015-45,9.32
2015-11-13,2015-46,8.39
2015-11-20,2015-47,9.03
2015-11-27,2015-48,8.93
2015-12-04,2015-49,8.83
2015-12-11,2015-50,8.26
2015-12-18,2015-51,8.23
2015-12-25,2015-52,8.99
2016-01-01,2016-1,10.2
2016-01-08,2016-2,7.87
2016-01-15,2016-3,9.02
2016-01-22,2016-4,8.8
2016-01-29,2016-5,9.38
2016-02-05,2016-6,9.2
2016-02-12,2016-7,9.78
2016-02-19,2016-8,9.36
2016-02-26,2016-9,9.63
2016-03-04,2016-10,9.8
2016-03-11,2016-11,9.88
2016-03-18,2016-12,9.78
2016-03-25,2016-13,10.61
2016-04-01,2016-14,9.65
2016-04-08,2016-15,9.82
2016-04-15,2016-16,10.54
2016-04-22,2016-17,10.95
2016-04-29,2016-18,9.75
2016-05-06,2016-19,9.7
2016-05-13,2016-20,10.2
2016-05-20,2016-21,9.61
2016-05-27,2016-22,10.15
2016-06-03,2016-23,9.73
2016-06-10,2016-24,9.72
2016-06-17,2016-25,9.72
2016-06-24,2016-26,9.65
2016-07-01,2016-27,9.49
2016-07-08,2016-28,9.49
2016-07-15,2016-29,9.28
2016-07-22,2016-30,8.85
2016-07-29,2016-31,9.38
2016-08-05,2016-32,9.19
2016-08-12,2016-33,9.47
2016-08-19,2016-34,9.47
2016-08-26,2016-35,9.39
2016-09-02,2016-36,9.13
2016-09-09,2016-37,9.55
2016-09-16,2016-38,9.29
2016-09-23,2016-39,9.38
2016-09-30,2016-40,9.04
2016-10-07,2016-41,9.32
2016-10-14,2016-42,9.37
2016-10-21,2016-43,9.27
2016-10-28,2016-44,8.78
2016-11-04,2016-45,8.95
2016-11-11,2016-46,8.88
2016-11-18,2016-47,8.69
2016-11-25,2016-48,8.79
2016-12-02,2016-49,8.77
2016-12-09,2016-50,8.92
2016-12-16,2016-51,9.25
2016-12-23,2016-52,9.85
2016-12-30,2016-53,10.12
2017-01-06,2017-1,9.64
2017-01-13,2017-2,9.62
2017-01-20,2017-3,9.32
2017-01-27,2017-4,9.62
2017-02-03,2017-5,9.58
2017-02-10,2017-6,10.67
2017-02-17,2017-7,10.4
2017-02-24,2017-8,9.7
2017-03-03,2017-9,9.8
2017-03-10,2017-10,10.03
2017-03-17,2017-11,9.72
2017-03-24,2017-12,10.67
2017-03-31,2017-13,10.14
2017-04-07,2017-14,10.15
2017-04-14,2017-15,10.86
2017-04-21,2017-16,10.76
2017-04-28,2017-17,12.15
2017-05-05,2017-18,11.0
2017-05-12,2017-19,12.06
2017-05-19,2017-20,11.59
2017-05-26,2017-21,12.02
2017-06-02,2017-22,11.34
2017-06-09,2017-23,11.08
2017-06-16,2017-24,11.38
2017-06-23,2017-25,11.09
2017-06-30,2017-26,11.2
2017-07-07,2017-27,11.59
2017-07-14,2017-28,11.32
2017-07-21,2017-29,10.75
2017-07-28,2017-30,10.92
2017-08-04,2017-31,10.86
2017-08-11,2017-32,11.27
2017-08-18,2017-33,10.76
2017-08-25,2017-34,10.86
2017-09-01,2017-35,10.4
2017-09-08,2017-36,10.83
2017-09-15,2017-37,10.55
2017-09-22,2017-38,10.82
2017-09-29,2017-39,10.88
2017-10-06,2017-40,10.66
2017-10-13,2017-41,10.37
2017-10-20,2017-42,10.57
2017-10-27,2017-43,10.38
2017-11-03,2017-44,10.08
2017-11-10,2017-45,10.88
2017-11-17,2017-46,12.5
2017-11-24,2017-47,10.35
2017-12-01,2017-48,11.33
2017-12-08,2017-49,11.24
2017-12-15,2017-50,11.5
2017-12-22,2017-51,12.64
2017-12-29,2017-52,13.06
2018-01-05,2018-1,11.58
2018-01-12,2018-2,10.99
2018-01-19,2018-3,11.28
2018-01-26,2018-4,12.08
2018-02-02,2018-5,11.11
2018-02-09,2018-6,13.87
2018-02-16,2018-7,11.38
2018-02-23,2018-8,11.72
2018-03-02,2018-9,11.26
2018-03-09,2018-10,11.74
2018-03-16,2018-11,11.25
2018-03-23,2018-12,11.98
2018-03-30,2018-13,12.02
2018-04-06,2018-14,11.81
2018-04-13,2018-15,12.42
2018-04-20,2018-16,11.67
2018-04-27,2018-17,13.02
2018-05-04,2018-18,11.96
2018-05-11,2018-19,13.92
2018-05-18,2018-20,12.64
2018-05-25,2018-21,13.05
2018-06-01,2018-22,12.94
2018-06-08,2018-23,15.44
2018-06-15,2018-24,15.26
2018-06-22,2018-25,13.97
2018-06-29,2018-26,14.96
2018-07-06,2018-27,14.58
2018-07-13,2018-28,16.19
2018-07-20,2018-29,15.15
2018-07-27,2018-30,15.4
2018-08-03,2018-31,14.93
2018-08-10,2018-32,15.36
2018-08-17,2018-33,15.76
2018-08-24,2018-34,15.25
2018-08-31,2018-35,16.59
2018-09-07,2018-36,18.81
2018-09-14,2018-37,22.31
2018-09-21,2018-38,24.67
2018-09-28,2018-39,23.74
2018-10-05,2018-40,23.17
2018-10-12,2018-41,23.97
2018-10-19,2018-42,24.13
2018-10-26,2018-43,24.41
2018-11-02,2018-44,23.04
2018-11-09,2018-45,23.88
2018-11-16,2018-46,23.71
2018-11-23,2018-47,23.84
2018-11-30,2018-48,23.72
2018-12-07,2018-49,20.98
