Tarih,TP_TLDTHVADE_KB2,TP_TLDTHVADE_KB2
2012-07-06,2012-27,51497528.0
2012-07-13,2012-28,53377274.0
2012-07-20,2012-29,53918205.0
2012-07-27,2012-30,58064545.0
2012-08-03,2012-31,51198214.0
2012-08-10,2012-32,53968131.0
2012-08-17,2012-33,51644241.0
2012-08-24,2012-34,53860650.0
2012-08-31,2012-35,51992012.0
2012-09-07,2012-36,58371476.0
2012-09-14,2012-37,55959567.0
2012-09-21,2012-38,58899685.0
2012-09-28,2012-39,55474040.0
2012-10-05,2012-40,56706765.0
2012-10-12,2012-41,59210556.0
2012-10-19,2012-42,58176316.0
2012-10-26,2012-43,60100208.0
2012-11-02,2012-44,60192173.0
2012-11-09,2012-45,65577850.0
2012-11-16,2012-46,65222584.0
2012-11-23,2012-47,67985093.0
2012-11-30,2012-48,64792683.0
2012-12-07,2012-49,72718930.0
2012-12-14,2012-50,72286473.0
2012-12-21,2012-51,71245831.0
2012-12-28,2012-52,68792272.0
2013-01-04,2013-1,70749085.0
2013-01-11,2013-2,68626786.0
2013-01-18,2013-3,64776704.0
2013-01-25,2013-4,68074927.0
2013-02-01,2013-5,63032187.0
2013-02-08,2013-6,65930006.0
2013-02-15,2013-7,62343125.0
2013-02-22,2013-8,65162099.0
2013-03-01,2013-9,64978332.0
2013-03-08,2013-10,69920310.0
2013-03-15,2013-11,65285091.0
2013-03-22,2013-12,68352679.0
2013-03-29,2013-13,63951774.0
2013-04-05,2013-14,66266745.0
2013-04-12,2013-15,64382131.0
2013-04-19,2013-16,65018789.0
2013-04-26,2013-17,66113973.0
2013-05-03,2013-18,69405894.0
2013-05-10,2013-19,72200639.0
2013-05-17,2013-20,71193044.0
2013-05-24,2013-21,70234608.0
2013-05-31,2013-22,72127994.0
2013-06-07,2013-23,76330927.0
2013-06-14,2013-24,75013358.0
2013-06-21,2013-25,76155811.0
2013-06-28,2013-26,72511638.0
2013-07-05,2013-27,74746502.0
2013-07-12,2013-28,76362640.0
2013-07-19,2013-29,72237633.0
2013-07-26,2013-30,75128912.0
2013-08-02,2013-31,70135316.0
2013-08-09,2013-32,75177799.0
2013-08-16,2013-33,72595534.0
2013-08-23,2013-34,74562881.0
2013-08-30,2013-35,70487973.0
2013-09-06,2013-36,78470228.0
2013-09-13,2013-37,73192538.0
2013-09-20,2013-38,68759508.0
2013-09-27,2013-39,67808141.0
2013-10-04,2013-40,71983407.0
2013-10-11,2013-41,65503438.0
2013-10-18,2013-42,
2013-10-25,2013-43,71739487.0
2013-11-01,2013-44,73782778.0
2013-11-08,2013-45,76663361.0
2013-11-15,2013-46,75553474.0
2013-11-22,2013-47,67724744.0
2013-11-29,2013-48,70910637.0
2013-12-06,2013-49,74324096.0
2013-12-13,2013-50,77148222.0
2013-12-20,2013-51,75495398.0
2013-12-27,2013-52,80684979.0
2014-01-03,2014-1,79702608.0
2014-01-10,2014-2,81394736.0
2014-01-17,2014-3,77316945.0
2014-01-24,2014-4,78492670.0
2014-01-31,2014-5,73318039.0
2014-02-07,2014-6,77776449.0
2014-02-14,2014-7,70832861.0
2014-02-21,2014-8,71637434.0
2014-02-28,2014-9,71523606.0
2014-03-07,2014-10,76068717.0
2014-03-14,2014-11,74203558.0
2014-03-21,2014-12,72827042.0
2014-03-28,2014-13,65744374.0
2014-04-04,2014-14,66380434.0
2014-04-11,2014-15,66110781.0
2014-04-18,2014-16,64444873.0
2014-04-25,2014-17,66788396.0
2014-05-02,2014-18,67888202.0
2014-05-09,2014-19,72468223.0
2014-05-16,2014-20,68516644.0
2014-05-23,2014-21,69405173.0
2014-05-30,2014-22,72612051.0
2014-06-06,2014-23,74619757.0
2014-06-13,2014-24,78505871.0
2014-06-20,2014-25,72783428.0
2014-06-27,2014-26,76304987.0
2014-07-04,2014-27,77457440.0
2014-07-11,2014-28,79392237.0
2014-07-18,2014-29,78307518.0
2014-07-25,2014-30,76320075.0
2014-08-01,2014-31,81818169.0
2014-08-08,2014-32,84115789.0
2014-08-15,2014-33,80488841.0
2014-08-22,2014-34,81786013.0
2014-08-29,2014-35,76617212.0
2014-09-05,2014-36,83831982.0
2014-09-12,2014-37,83241647.0
2014-09-19,2014-38,84213354.0
2014-09-26,2014-39,85324836.0
2014-10-03,2014-40,86942528.0
2014-10-10,2014-41,86750439.0
2014-10-17,2014-42,81308307.0
2014-10-24,2014-43,77192666.0
2014-10-31,2014-44,77498217.0
2014-11-07,2014-45,84597767.0
2014-11-14,2014-46,87860680.0
2014-11-21,2014-47,83574042.0
2014-11-28,2014-48,83184156.0
2014-12-05,2014-49,88233704.0
2014-12-12,2014-50,91704896.0
2014-12-19,2014-51,89978940.0
2014-12-26,2014-52,97570736.0
2015-01-02,2015-1,91534289.0
2015-01-09,2015-2,97487045.0
2015-01-16,2015-3,91360685.0
2015-01-23,2015-4,95301293.0
2015-01-30,2015-5,94620398.0
2015-02-06,2015-6,104843031.0
2015-02-13,2015-7,104279596.0
2015-02-20,2015-8,96451718.0
2015-02-27,2015-9,95631934.0
2015-03-06,2015-10,106226227.0
2015-03-13,2015-11,100250255.0
2015-03-20,2015-12,97476442.0
2015-03-27,2015-13,97293983.0
2015-04-03,2015-14,101064592.0
2015-04-10,2015-15,96378412.0
2015-04-17,2015-16,96304858.0
2015-04-24,2015-17,95840238.0
2015-05-01,2015-18,93284777.0
2015-05-08,2015-19,99797614.0
2015-05-15,2015-20,95681727.0
2015-05-22,2015-21,92261074.0
2015-05-29,2015-22,92014247.0
2015-06-05,2015-23,95996741.0
2015-06-12,2015-24,101320361.0
2015-06-19,2015-25,98456345.0
2015-06-26,2015-26,97865096.0
2015-07-03,2015-27,95123351.0
2015-07-10,2015-28,89680485.0
2015-07-17,2015-29,91197001.0
2015-07-24,2015-30,100875314.0
2015-07-31,2015-31,101531401.0
2015-08-07,2015-32,101805446.0
2015-08-14,2015-33,100601862.0
2015-08-21,2015-34,100642735.0
2015-08-28,2015-35,93308860.0
2015-09-04,2015-36,104792320.0
2015-09-11,2015-37,103999935.0
2015-09-18,2015-38,99688874.0
2015-09-25,2015-39,103757952.0
2015-10-02,2015-40,108658584.0
2015-10-09,2015-41,105494404.0
2015-10-16,2015-42,99688118.0
2015-10-23,2015-43,95155721.0
2015-10-30,2015-44,93791027.0
2015-11-06,2015-45,98711401.0
2015-11-13,2015-46,100397712.0
2015-11-20,2015-47,96338106.0
2015-11-27,2015-48,97639055.0
2015-12-04,2015-49,101863990.0
2015-12-11,2015-50,106814490.0
2015-12-18,2015-51,101754919.0
2015-12-25,2015-52,103864025.0
2016-01-01,2016-1,95654677.0
2016-01-08,2016-2,103748766.0
2016-01-15,2016-3,101101509.0
2016-01-22,2016-4,99232632.0
2016-01-29,2016-5,91628402.0
2016-02-05,2016-6,98416646.0
2016-02-12,2016-7,97068101.0
2016-02-19,2016-8,97163088.0
2016-02-26,2016-9,99092651.0
2016-03-04,2016-10,103505351.0
2016-03-11,2016-11,103930529.0
2016-03-18,2016-12,98674557.0
2016-03-25,2016-13,97387291.0
2016-04-01,2016-14,101002994.0
2016-04-08,2016-15,101240467.0
2016-04-15,2016-16,97279132.0
2016-04-22,2016-17,99063237.0
2016-04-29,2016-18,95371986.0
2016-05-06,2016-19,106319038.0
2016-05-13,2016-20,106980091.0
2016-05-20,2016-21,104344448.0
2016-05-27,2016-22,103389154.0
2016-06-03,2016-23,108172752.0
2016-06-10,2016-24,106732298.0
2016-06-17,2016-25,101609627.0
2016-06-24,2016-26,104570416.0
2016-07-01,2016-27,100283559.0
2016-07-08,2016-28,107610016.0
2016-07-15,2016-29,104149360.0
2016-07-22,2016-30,117961951.0
2016-07-29,2016-31,110644869.0
2016-08-05,2016-32,119651679.0
2016-08-12,2016-33,115628186.0
2016-08-19,2016-34,104285490.0
2016-08-26,2016-35,103123744.0
2016-09-02,2016-36,109677098.0
2016-09-09,2016-37,100389846.0
2016-09-16,2016-38,107536838.0
2016-09-23,2016-39,112880430.0
2016-09-30,2016-40,110891365.0
2016-10-07,2016-41,121862729.0
2016-10-14,2016-42,124834387.0
2016-10-21,2016-43,120046527.0
2016-10-28,2016-44,120724475.0
2016-11-04,2016-45,127753973.0
2016-11-11,2016-46,133544023.0
2016-11-18,2016-47,125316921.0
2016-11-25,2016-48,124745495.0
2016-12-02,2016-49,124683341.0
2016-12-09,2016-50,128493585.0
2016-12-16,2016-51,128498918.0
2016-12-23,2016-52,131995385.0
2016-12-30,2016-53,121829955.0
2017-01-06,2017-1,131147335.0
2017-01-13,2017-2,130363814.0
2017-01-20,2017-3,126886735.0
2017-01-27,2017-4,121828209.0
2017-02-03,2017-5,122624123.0
2017-02-10,2017-6,121170645.0
2017-02-17,2017-7,124968155.0
2017-02-24,2017-8,122456215.0
2017-03-03,2017-9,126406230.0
2017-03-10,2017-10,126750257.0
2017-03-17,2017-11,124743910.0
2017-03-24,2017-12,123653282.0
2017-03-31,2017-13,124328138.0
2017-04-07,2017-14,132583411.0
2017-04-14,2017-15,129924697.0
2017-04-21,2017-16,128444038.0
2017-04-28,2017-17,117669285.0
2017-05-05,2017-18,123918046.0
2017-05-12,2017-19,122513527.0
2017-05-19,2017-20,117117550.0
2017-05-26,2017-21,117071313.0
2017-06-02,2017-22,116425758.0
2017-06-09,2017-23,119095073.0
2017-06-16,2017-24,117595364.0
2017-06-23,2017-25,117880234.0
2017-06-30,2017-26,118849375.0
2017-07-07,2017-27,130637907.0
2017-07-14,2017-28,127414834.0
2017-07-21,2017-29,120739876.0
2017-07-28,2017-30,115563669.0
2017-08-04,2017-31,119872834.0
2017-08-11,2017-32,120506045.0
2017-08-18,2017-33,116232753.0
2017-08-25,2017-34,112511522.0
2017-09-01,2017-35,111097554.0
2017-09-08,2017-36,118882463.0
2017-09-15,2017-37,115523158.0
2017-09-22,2017-38,121269206.0
2017-09-29,2017-39,113533113.0
2017-10-06,2017-40,123964097.0
2017-10-13,2017-41,129554433.0
2017-10-20,2017-42,129943279.0
2017-10-27,2017-43,134555946.0
2017-11-03,2017-44,143250924.0
2017-11-10,2017-45,148518888.0
2017-11-17,2017-46,141323907.0
2017-11-24,2017-47,139322412.0
2017-12-01,2017-48,136743249.0
2017-12-08,2017-49,139579004.0
2017-12-15,2017-50,140880959.0
2017-12-22,2017-51,141886537.0
2017-12-29,2017-52,132580645.0
2018-01-05,2018-1,138267157.0
2018-01-12,2018-2,137730430.0
2018-01-19,2018-3,130685164.0
2018-01-26,2018-4,127264529.0
2018-02-02,2018-5,130394321.0
2018-02-09,2018-6,135372272.0
