Tarih,TP_HPBITABLO1_11,TP_HPBITABLO1_11
2017-02-10,2017-6,1411440415.7
2017-02-17,2017-7,1414352633.1
2017-02-24,2017-8,1401615999.3
2017-03-03,2017-9,1414693963.2
2017-03-10,2017-10,1428333668.9
2017-03-17,2017-11,1434206034.5
2017-03-24,2017-12,1433267547.5
2017-03-31,2017-13,1441642896.8
2017-04-07,2017-14,1457021646.9
2017-04-14,2017-15,1468755588.5
2017-04-21,2017-16,1476816671.4
2017-04-28,2017-17,1468654893.6
2017-05-05,2017-18,1466327823.0
2017-05-12,2017-19,1474776040.6
2017-05-19,2017-20,1484758112.0
2017-05-26,2017-21,1488589564.5
2017-06-02,2017-22,1488998264.2
2017-06-09,2017-23,1499869229.9
2017-06-16,2017-24,1502668215.2
2017-06-23,2017-25,1519078301.1
2017-06-30,2017-26,1505781396.9
2017-07-07,2017-27,1522800233.6
2017-07-14,2017-28,1519111778.7
2017-07-21,2017-29,1521771740.9
2017-07-28,2017-30,1516361660.2
2017-08-04,2017-31,1521157857.3
2017-08-11,2017-32,1525465269.1
2017-08-18,2017-33,1526021851.1
2017-08-25,2017-34,1538886914.7
2017-09-01,2017-35,1529488711.3
2017-09-08,2017-36,1518348656.9
2017-09-15,2017-37,1530801929.2
2017-09-22,2017-38,1545940204.9
2017-09-29,2017-39,1552266224.0
2017-10-06,2017-40,1548794630.5
2017-10-13,2017-41,1569715114.9
2017-10-20,2017-42,1577363991.2
2017-10-27,2017-43,1596047990.8
2017-11-03,2017-44,1602227291.8
2017-11-10,2017-45,1614989870.9
2017-11-17,2017-46,1619571045.1
2017-11-24,2017-47,1630658300.1
2017-12-01,2017-48,1625609101.3
2017-12-08,2017-49,1614003226.5
2017-12-15,2017-50,1615276428.1
2017-12-22,2017-51,1621921314.3
2017-12-29,2017-52,1624675299.5
2018-01-05,2018-1,1605009631.0
2018-01-12,2018-2,1618821653.4
2018-01-19,2018-3,1625438560.2
2018-01-26,2018-4,1618277191.0
2018-02-02,2018-5,1613766460.3
2018-02-09,2018-6,1618904755.0
2018-02-16,2018-7,1631229311.2
2018-02-23,2018-8,1633681565.0
2018-03-02,2018-9,1633826171.0
2018-03-09,2018-10,1638408967.5
2018-03-16,2018-11,1665028431.5
2018-03-23,2018-12,1674240627.1
2018-03-30,2018-13,1678921402.7
2018-04-06,2018-14,1686999296.3
2018-04-13,2018-15,1720021160.0
2018-04-20,2018-16,1715299987.7
2018-04-27,2018-17,1722642137.5
2018-05-04,2018-18,1732338889.6
2018-05-11,2018-19,1752326452.2
2018-05-18,2018-20,1779931051.4
2018-05-25,2018-21,1825331191.6
2018-06-01,2018-22,1778687068.0
2018-06-08,2018-23,1809770239.9
2018-06-15,2018-24,1851163034.6
2018-06-22,2018-25,1842034938.0
2018-06-29,2018-26,1805676496.9
2018-07-06,2018-27,1809342130.9
2018-07-13,2018-28,1846647214.0
2018-07-20,2018-29,1850211972.9
2018-07-27,2018-30,1857288359.6
2018-08-03,2018-31,1888531490.0
2018-08-10,2018-32,1951254682.2
2018-08-17,2018-33,2020961836.1
2018-08-24,2018-34,2051366887.5
2018-08-31,2018-35,2080876941.7
2018-09-07,2018-36,2105943909.7
2018-09-14,2018-37,2080829110.6
2018-09-21,2018-38,2073881773.4
2018-09-28,2018-39,2031956192.4
2018-10-05,2018-40,2034884558.8
2018-10-12,2018-41,2025105052.6
2018-10-19,2018-42,1970336569.1
2018-10-26,2018-43,1984481666.6
2018-11-02,2018-44,1961414814.0
2018-11-09,2018-45,1941970861.1
2018-11-16,2018-46,1955809726.3
2018-11-23,2018-47,1925542609.6
2018-11-30,2018-48,1891085359.7
2018-12-07,2018-49,1927303387.9
2018-12-14,2018-50,1935490940.9
2018-12-21,2018-51,1936985996.3
2018-12-28,2018-52,1940589522.5
2019-01-04,2019-1,1952349700.7
2019-01-11,2019-2,1960153239.9
2019-01-18,2019-3,1951446456.8
2019-01-25,2019-4,1957327986.7
2019-02-01,2019-5,1944626928.6
2019-02-08,2019-6,1950258146.8
2019-02-15,2019-7,1967868105.5
2019-02-22,2019-8,1969840041.8
