Tarih,TP_KTFTUK,TP_KTFTUK
2017-02-03,2017-5,15.13
2017-02-10,2017-6,15.21
2017-02-17,2017-7,15.1
2017-02-24,2017-8,14.97
2017-03-03,2017-9,14.68
2017-03-10,2017-10,14.85
2017-03-17,2017-11,14.71
2017-03-24,2017-12,14.79
2017-03-31,2017-13,14.69
2017-04-07,2017-14,14.79
2017-04-14,2017-15,14.96
2017-04-21,2017-16,15.09
2017-04-28,2017-17,15.33
2017-05-05,2017-18,15.45
2017-05-12,2017-19,15.55
2017-05-19,2017-20,15.6
2017-05-26,2017-21,15.85
2017-06-02,2017-22,15.65
2017-06-09,2017-23,15.91
2017-06-16,2017-24,15.94
2017-06-23,2017-25,15.84
2017-06-30,2017-26,15.82
2017-07-07,2017-27,16.06
2017-07-14,2017-28,16.1
2017-07-21,2017-29,16.05
2017-07-28,2017-30,16.07
2017-08-04,2017-31,16.05
2017-08-11,2017-32,16.33
2017-08-18,2017-33,16.68
2017-08-25,2017-34,16.62
2017-09-01,2017-35,17.74
2017-09-08,2017-36,16.68
2017-09-15,2017-37,16.62
2017-09-22,2017-38,16.74
2017-09-29,2017-39,16.53
2017-10-06,2017-40,17.02
2017-10-13,2017-41,16.98
2017-10-20,2017-42,17.06
2017-10-27,2017-43,17.03
2017-11-03,2017-44,16.96
2017-11-10,2017-45,17.2
2017-11-17,2017-46,17.27
2017-11-24,2017-47,17.19
2017-12-01,2017-48,17.27
2017-12-08,2017-49,17.44
2017-12-15,2017-50,17.94
2017-12-22,2017-51,18.09
2017-12-29,2017-52,17.85
2018-01-05,2018-1,18.55
2018-01-12,2018-2,18.59
2018-01-19,2018-3,18.59
2018-01-26,2018-4,18.69
2018-02-02,2018-5,18.83
2018-02-09,2018-6,19.02
2018-02-16,2018-7,18.93
2018-02-23,2018-8,18.88
2018-03-02,2018-9,18.45
2018-03-09,2018-10,18.69
2018-03-16,2018-11,18.8
2018-03-23,2018-12,18.66
2018-03-30,2018-13,18.56
2018-04-06,2018-14,18.76
2018-04-13,2018-15,18.74
2018-04-20,2018-16,18.9
2018-04-27,2018-17,18.81
2018-05-04,2018-18,18.82
2018-05-11,2018-19,19.15
2018-05-18,2018-20,18.3
2018-05-25,2018-21,18.02
2018-06-01,2018-22,18.02
2018-06-08,2018-23,18.91
2018-06-15,2018-24,19.74
2018-06-22,2018-25,19.58
2018-06-29,2018-26,19.61
2018-07-06,2018-27,20.01
2018-07-13,2018-28,22.43
2018-07-20,2018-29,24.12
2018-07-27,2018-30,24.49
2018-08-03,2018-31,24.82
2018-08-10,2018-32,25.86
2018-08-17,2018-33,28.17
2018-08-24,2018-34,31.11
2018-08-31,2018-35,29.82
2018-09-07,2018-36,32.04
2018-09-14,2018-37,33.7
2018-09-21,2018-38,35.5
2018-09-28,2018-39,37.03
2018-10-05,2018-40,37.79
2018-10-12,2018-41,38.27
2018-10-19,2018-42,37.71
2018-10-26,2018-43,36.96
2018-11-02,2018-44,36.47
2018-11-09,2018-45,36.2
2018-11-16,2018-46,35.35
2018-11-23,2018-47,34.4
2018-11-30,2018-48,33.78
2018-12-07,2018-49,34.13
2018-12-14,2018-50,33.62
2018-12-21,2018-51,32.77
2018-12-28,2018-52,31.74
2019-01-04,2019-1,31.94
2019-01-11,2019-2,32.28
2019-01-18,2019-3,29.78
2019-01-25,2019-4,27.97
2019-02-01,2019-5,26.52
2019-02-08,2019-6,26.69
2019-02-15,2019-7,26.31
2019-02-22,2019-8,25.18
2019-03-01,2019-9,24.44
2019-03-08,2019-10,22.76
2019-03-15,2019-11,22.33
2019-03-22,2019-12,22.25
2019-03-29,2019-13,22.07
2019-04-05,2019-14,22.92
2019-04-12,2019-15,23.88
2019-04-19,2019-16,24.37
2019-04-26,2019-17,26.12
2019-05-03,2019-18,26.68
2019-05-10,2019-19,26.98
2019-05-17,2019-20,27.82
2019-05-24,2019-21,28.89
2019-05-31,2019-22,28.86
2019-06-07,2019-23,28.95
2019-06-14,2019-24,29.08
2019-06-21,2019-25,28.42
2019-06-28,2019-26,27.86
2019-07-05,2019-27,27.76
2019-07-12,2019-28,27.12
2019-07-19,2019-29,26.46
2019-07-26,2019-30,26.34
2019-08-02,2019-31,24.41
2019-08-09,2019-32,21.35
2019-08-16,2019-33,20.96
2019-08-23,2019-34,19.83
2019-08-30,2019-35,19.28
2019-09-06,2019-36,19.1
2019-09-13,2019-37,18.93
2019-09-20,2019-38,17.57
2019-09-27,2019-39,17.41
2019-10-04,2019-40,17.26
2019-10-11,2019-41,17.22
2019-10-18,2019-42,17.11
2019-10-25,2019-43,17.12
2019-11-01,2019-44,16.86
2019-11-08,2019-45,16.37
2019-11-15,2019-46,16.25
2019-11-22,2019-47,15.91
2019-11-29,2019-48,15.74
2019-12-06,2019-49,15.78
2019-12-13,2019-50,15.67
2019-12-20,2019-51,15.24
2019-12-27,2019-52,14.69
2020-01-03,2020-1,14.77
2020-01-10,2020-2,14.9
2020-01-17,2020-3,14.71
2020-01-24,2020-4,14.47
2020-01-31,2020-5,14.18
2020-02-07,2020-6,14.01
2020-02-14,2020-7,14.04
2020-02-21,2020-8,13.68
2020-02-28,2020-9,13.61
2020-03-06,2020-10,13.89
2020-03-13,2020-11,13.87
2020-03-20,2020-12,13.97
2020-03-27,2020-13,14.43
2020-04-03,2020-14,15.17
2020-04-10,2020-15,14.95
2020-04-17,2020-16,9.69
2020-04-24,2020-17,8.45
2020-05-01,2020-18,9.21
2020-05-08,2020-19,10.23
2020-05-15,2020-20,10.88
2020-05-22,2020-21,11.25
2020-05-29,2020-22,11.84
2020-06-05,2020-23,11.88
2020-06-12,2020-24,11.46
2020-06-19,2020-25,11.25
2020-06-26,2020-26,11.0
2020-07-03,2020-27,10.68
2020-07-10,2020-28,11.1
2020-07-17,2020-29,11.2
2020-07-24,2020-30,11.28
2020-07-31,2020-31,10.77
2020-08-07,2020-32,12.0
2020-08-14,2020-33,13.74
2020-08-21,2020-34,15.26
2020-08-28,2020-35,16.57
2020-09-04,2020-36,16.94
2020-09-11,2020-37,16.99
2020-09-18,2020-38,17.31
2020-09-25,2020-39,17.85
2020-10-02,2020-40,18.22
2020-10-09,2020-41,18.34
2020-10-16,2020-42,18.4
2020-10-23,2020-43,18.61
2020-10-30,2020-44,18.7
2020-11-06,2020-45,19.15
2020-11-13,2020-46,19.8
2020-11-20,2020-47,19.97
2020-11-27,2020-48,20.54
2020-12-04,2020-49,21.39
2020-12-11,2020-50,21.87
2020-12-18,2020-51,22.26
2020-12-25,2020-52,22.14
2021-01-01,2021-1,21.95
2021-01-08,2021-2,22.53
2021-01-15,2021-3,22.33
2021-01-22,2021-4,22.04
2021-01-29,2021-5,21.73
2021-02-05,2021-6,21.73
2021-02-12,2021-7,21.6
2021-02-19,2021-8,21.76
2021-02-26,2021-9,21.81
2021-03-05,2021-10,21.62
2021-03-12,2021-11,21.4
2021-03-19,2021-12,21.43
2021-03-26,2021-13,22.45
2021-04-02,2021-14,22.72
2021-04-09,2021-15,23.23
2021-04-16,2021-16,23.15
2021-04-23,2021-17,23.18
2021-04-30,2021-18,22.79
2021-05-07,2021-19,23.44
2021-05-14,2021-20,23.42
2021-05-21,2021-21,22.84
2021-05-28,2021-22,22.41
2021-06-04,2021-23,22.38
2021-06-11,2021-24,22.3
2021-06-18,2021-25,22.3
2021-06-25,2021-26,22.39
2021-07-02,2021-27,22.31
2021-07-09,2021-28,22.37
2021-07-16,2021-29,22.24
2021-07-23,2021-30,21.6
2021-07-30,2021-31,22.24
2021-08-06,2021-32,22.25
2021-08-13,2021-33,22.09
2021-08-20,2021-34,22.06
2021-08-27,2021-35,22.03
2021-09-03,2021-36,22.41
2021-09-10,2021-37,22.3
2021-09-17,2021-38,22.16
2021-09-24,2021-39,22.38
2021-10-01,2021-40,22.15
2021-10-08,2021-41,22.23
2021-10-15,2021-42,22.2
2021-10-22,2021-43,22.24
2021-10-29,2021-44,22.25
2021-11-05,2021-45,22.12
2021-11-12,2021-46,21.92
2021-11-19,2021-47,21.93
2021-11-26,2021-48,21.99
2021-12-03,2021-49,22.45
2021-12-10,2021-50,23.17
2021-12-17,2021-51,23.5
2021-12-24,2021-52,25.51
2021-12-31,2021-53,26.14
2022-01-07,2022-1,28.1
2022-01-14,2022-2,29.07
2022-01-21,2022-3,28.71
2022-01-28,2022-4,28.94
2022-02-04,2022-5,28.05
2022-02-11,2022-6,27.87
2022-02-18,2022-7,26.81
2022-02-25,2022-8,26.67
2022-03-04,2022-9,26.4
2022-03-11,2022-10,26.58
2022-03-18,2022-11,26.66
2022-03-25,2022-12,25.93
2022-04-01,2022-13,25.64
2022-04-08,2022-14,25.42
2022-04-15,2022-15,25.14
2022-04-22,2022-16,25.2
2022-04-29,2022-17,25.68
2022-05-06,2022-18,27.08
2022-05-13,2022-19,26.13
2022-05-20,2022-20,26.31
2022-05-27,2022-21,26.43
2022-06-03,2022-22,26.63
2022-06-10,2022-23,27.36
2022-06-17,2022-24,27.98
2022-06-24,2022-25,27.11
2022-07-01,2022-26,29.64
2022-07-08,2022-27,31.13
2022-07-15,2022-28,33.72
2022-07-22,2022-29,31.7
2022-07-29,2022-30,30.96
2022-08-05,2022-31,31.45
2022-08-12,2022-32,31.35
2022-08-19,2022-33,31.61
2022-08-26,2022-34,31.24
2022-09-02,2022-35,31.39
2022-09-09,2022-36,30.8
2022-09-16,2022-37,31.04
2022-09-23,2022-38,30.87
2022-09-30,2022-39,30.29
2022-10-07,2022-40,30.61
2022-10-14,2022-41,30.4
2022-10-21,2022-42,30.15
2022-10-28,2022-43,29.84
2022-11-04,2022-44,29.41
2022-11-11,2022-45,29.91
2022-11-18,2022-46,29.69
2022-11-25,2022-47,29.65
2022-12-02,2022-48,29.33
2022-12-09,2022-49,29.59
2022-12-16,2022-50,29.3
2022-12-23,2022-51,28.87
2022-12-30,2022-52,27.94
2023-01-06,2023-1,29.01
2023-01-13,2023-2,29.26
2023-01-20,2023-3,29.04
2023-01-27,2023-4,28.9
2023-02-03,2023-5,28.8
2023-02-10,2023-6,28.99
2023-02-17,2023-7,28.92
2023-02-24,2023-8,28.05
2023-03-03,2023-9,24.84
2023-03-10,2023-10,25.52
2023-03-17,2023-11,27.07
2023-03-24,2023-12,27.56
2023-03-31,2023-13,28.37
2023-04-07,2023-14,28.82
2023-04-14,2023-15,28.49
2023-04-21,2023-16,30.3
2023-04-28,2023-17,29.3
2023-05-05,2023-18,30.39
2023-05-12,2023-19,29.25
2023-05-19,2023-20,34.03
2023-05-26,2023-21,34.42
2023-06-02,2023-22,35.67
2023-06-09,2023-23,36.68
2023-06-16,2023-24,38.64
2023-06-23,2023-25,38.78
2023-06-30,2023-26,43.03
2023-07-07,2023-27,46.11
2023-07-14,2023-28,46.51
2023-07-21,2023-29,46.1
2023-07-28,2023-30,44.58
2023-08-04,2023-31,45.54
2023-08-11,2023-32,46.45
2023-08-18,2023-33,45.78
2023-08-25,2023-34,45.29
2023-09-01,2023-35,50.86
2023-09-08,2023-36,58.25
2023-09-15,2023-37,57.62
2023-09-22,2023-38,57.56
2023-09-29,2023-39,57.46
2023-10-06,2023-40,60.01
2023-10-13,2023-41,59.22
2023-10-20,2023-42,59.91
2023-10-27,2023-43,58.43
2023-11-03,2023-44,58.7
2023-11-10,2023-45,59.05
2023-11-17,2023-46,58.26
2023-11-24,2023-47,58.61
2023-12-01,2023-48,58.98
2023-12-08,2023-49,59.92
2023-12-15,2023-50,59.53
2023-12-22,2023-51,59.69
2023-12-29,2023-52,58.16
2024-01-05,2024-1,62.08
2024-01-12,2024-2,62.09
2024-01-19,2024-3,60.75
2024-01-26,2024-4,59.41
2024-02-02,2024-5,59.63
2024-02-09,2024-6,60.01
2024-02-16,2024-7,59.31
2024-02-23,2024-8,59.02
2024-03-01,2024-9,58.53
2024-03-08,2024-10,61.66
2024-03-15,2024-11,71.97
2024-03-22,2024-12,76.92
2024-03-29,2024-13,78.76
2024-04-05,2024-14,79.11
2024-04-12,2024-15,82.1
2024-04-19,2024-16,78.38
2024-04-26,2024-17,77.0
2024-05-03,2024-18,75.95
2024-05-10,2024-19,75.93
2024-05-17,2024-20,74.34
2024-05-24,2024-21,73.18
2024-05-31,2024-22,71.39
2024-06-07,2024-23,72.46
2024-06-14,2024-24,70.83
2024-06-21,2024-25,75.8
2024-06-28,2024-26,71.35
2024-07-05,2024-27,74.82
2024-07-12,2024-28,75.26
2024-07-19,2024-29,73.69
2024-07-26,2024-30,71.63
2024-08-02,2024-31,71.47
2024-08-09,2024-32,72.32
2024-08-16,2024-33,71.2
2024-08-23,2024-34,70.36
2024-08-30,2024-35,69.5
2024-09-06,2024-36,68.82
2024-09-13,2024-37,69.81
2024-09-20,2024-38,68.32
2024-09-27,2024-39,67.52
2024-10-04,2024-40,67.76
2024-10-11,2024-41,67.48
2024-10-18,2024-42,67.09
2024-10-25,2024-43,65.78
2024-11-01,2024-44,66.04
2024-11-08,2024-45,66.56
2024-11-15,2024-46,66.36
2024-11-22,2024-47,66.09
2024-11-29,2024-48,65.14
2024-12-06,2024-49,65.84
2024-12-13,2024-50,64.81
2024-12-20,2024-51,64.95
2024-12-27,2024-52,65.1
2025-01-03,2025-1,69.09
2025-01-10,2025-2,67.07
2025-01-17,2025-3,65.47
2025-01-24,2025-4,63.76
2025-01-31,2025-5,61.05
2025-02-07,2025-6,62.28
2025-02-14,2025-7,61.47
2025-02-21,2025-8,60.88
2025-02-28,2025-9,61.49
2025-03-07,2025-10,61.85
2025-03-14,2025-11,60.62
2025-03-21,2025-12,61.03
2025-03-28,2025-13,66.5
2025-04-04,2025-14,65.92
2025-04-11,2025-15,66.82
2025-04-18,2025-16,66.6
2025-04-25,2025-17,67.56
2025-05-02,2025-18,69.42
2025-05-09,2025-19,70.58
2025-05-16,2025-20,69.99
2025-05-23,2025-21,68.55
2025-05-30,2025-22,69.67
2025-06-06,2025-23,69.61
2025-06-13,2025-24,68.57
2025-06-20,2025-25,68.37
2025-06-27,2025-26,66.13
2025-07-04,2025-27,66.79
2025-07-11,2025-28,67.61
2025-07-18,2025-29,65.56
2025-07-25,2025-30,63.01
2025-08-01,2025-31,61.47
2025-08-08,2025-32,63.43
2025-08-15,2025-33,62.15
2025-08-22,2025-34,63.34
2025-08-29,2025-35,62.58
2025-09-05,2025-36,62.82
2025-09-12,2025-37,62.02
2025-09-19,2025-38,57.84
2025-09-26,2025-39,55.97
2025-10-03,2025-40,57.81
2025-10-10,2025-41,59.51
